white,black,result,termination,white_score
stratified_variant_28,sf2400,1-0,,1.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,1/2-1/2,,0.5
sf2400,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2400,1-0,,1.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,1-0,,1.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,1-0,,1.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,1-0,,1.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,1-0,,1.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1/2-1/2,,0.5
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1/2-1/2,,0.5
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,1-0,,1.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,1-0,,1.0
sf2550,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2600,0-1,,0.0
sf2600,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2600,0-1,,0.0
sf2600,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2600,1-0,,1.0
sf2600,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2600,0-1,,0.0
sf2600,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2600,0-1,,0.0
sf2600,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2600,0-1,,0.0
sf2600,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2600,0-1,,0.0
sf2600,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2600,0-1,,0.0
sf2600,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2600,0-1,,0.0
sf2600,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2600,0-1,,0.0
sf2600,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2600,1/2-1/2,,0.5
sf2600,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2600,0-1,,0.0
sf2600,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2600,0-1,,0.0
sf2600,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2600,0-1,,0.0
sf2600,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2600,0-1,,0.0
sf2600,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2600,0-1,,0.0
