candidate,config_path,binary_path,selected_feature_count,selected_features,games,points,score_pct,performance_elo,pgn,log
candidate_01,outputs/best_variant_search/candidate_configs/candidate_01.json,outputs/best_variant_search/candidate_bins/candidate_01,20,Alpha-Beta|Aspiration Windows|Bitboards|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Legal Move Generation|Magic Bitboards|Make Move|Move Generation|Pawn Structure|Piece-Square Tables|Pseudo-Legal Move Generation|Static Exchange Evaluation|Threefold Repetition|UCI|Unmake Move,4,1.5,37.5,1471.3,outputs/best_variant_search/candidate_pgn/candidate_01.pgn,outputs/best_variant_search/candidate_logs/candidate_01.log
candidate_02,outputs/best_variant_search/candidate_configs/candidate_02.json,outputs/best_variant_search/candidate_bins/candidate_02,25,Alpha-Beta|Bitboards|Castling|Copy-Make|Delta Pruning|En Passant|Evaluation|Fifty-Move Rule|Legal Move Generation|Make Move|Move Generation|Negamax|Opening Book|Pawn Structure|Piece Lists|Pondering|Principal Variation Search|Quiescence Search|Replacement Schemes|Static Exchange Evaluation|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,4,0.5,12.5,1222.0,outputs/best_variant_search/candidate_pgn/candidate_02.pgn,outputs/best_variant_search/candidate_logs/candidate_02.log
candidate_11,outputs/best_variant_search/candidate_configs/candidate_11.json,outputs/best_variant_search/candidate_bins/candidate_11,22,Alpha-Beta|Aspiration Windows|Bitboards|Castling|En Passant|Evaluation|Fifty-Move Rule|History Heuristic|Killer Heuristic|King Safety|Late Move Reductions|Legal Move Generation|Make Move|Move Generation|Negamax|Pawn Structure|Pseudo-Legal Move Generation|Replacement Schemes|Threefold Repetition|UCI|Unmake Move|Zobrist Hashing,4,0.5,12.5,1222.0,outputs/best_variant_search/candidate_pgn/candidate_11.pgn,outputs/best_variant_search/candidate_logs/candidate_11.log
candidate_12,outputs/best_variant_search/candidate_configs/candidate_12.json,outputs/best_variant_search/candidate_bins/candidate_12,20,0x88|Castling|En Passant|FEN|Fifty-Move Rule|Iterative Deepening|King Safety|Legal Move Generation|Make Move|Move Generation|Move Ordering|Piece-Square Tables|Pondering|Pseudo-Legal Move Generation|Razoring|Replacement Schemes|Tapered Eval|Threefold Repetition|Time Management|UCI,4,0.5,12.5,1222.0,outputs/best_variant_search/candidate_pgn/candidate_12.pgn,outputs/best_variant_search/candidate_logs/candidate_12.log
candidate_03,outputs/best_variant_search/candidate_configs/candidate_03.json,outputs/best_variant_search/candidate_bins/candidate_03,22,Alpha-Beta|Aspiration Windows|Bitboards|Castling|Copy-Make|En Passant|FEN|Fifty-Move Rule|Futility Pruning|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Pondering|Pseudo-Legal Move Generation|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,4,0.0,0.0,760.0,outputs/best_variant_search/candidate_pgn/candidate_03.pgn,outputs/best_variant_search/candidate_logs/candidate_03.log
candidate_04,outputs/best_variant_search/candidate_configs/candidate_04.json,outputs/best_variant_search/candidate_bins/candidate_04,15,Bitboards|Castling|En Passant|FEN|Fifty-Move Rule|History Heuristic|Killer Heuristic|King Safety|Legal Move Generation|Magic Bitboards|Mobility|Move Generation|Pseudo-Legal Move Generation|Threefold Repetition|UCI,4,0.0,0.0,760.0,outputs/best_variant_search/candidate_pgn/candidate_04.pgn,outputs/best_variant_search/candidate_logs/candidate_04.log
candidate_05,outputs/best_variant_search/candidate_configs/candidate_05.json,outputs/best_variant_search/candidate_bins/candidate_05,23,Alpha-Beta|Aspiration Windows|Bitboards|Castling|En Passant|FEN|Fifty-Move Rule|King Safety|Legal Move Generation|Magic Bitboards|Make Move|Mobility|Move Generation|Null Move Pruning|Opening Book|Pondering|Quiescence Search|Razoring|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move,4,0.0,0.0,760.0,outputs/best_variant_search/candidate_pgn/candidate_05.pgn,outputs/best_variant_search/candidate_logs/candidate_05.log
candidate_06,outputs/best_variant_search/candidate_configs/candidate_06.json,outputs/best_variant_search/candidate_bins/candidate_06,26,Alpha-Beta|Bitboards|Castling|Delta Pruning|En Passant|FEN|Fifty-Move Rule|History Heuristic|Iterative Deepening|King Safety|Legal Move Generation|Magic Bitboards|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Null Move Pruning|Pawn Structure|Piece-Square Tables|Pondering|Pseudo-Legal Move Generation|Quiescence Search|Threefold Repetition|UCI|Unmake Move,4,0.0,0.0,760.0,outputs/best_variant_search/candidate_pgn/candidate_06.pgn,outputs/best_variant_search/candidate_logs/candidate_06.log
candidate_07,outputs/best_variant_search/candidate_configs/candidate_07.json,outputs/best_variant_search/candidate_bins/candidate_07,23,10x12 Board|Castling|En Passant|FEN|Fifty-Move Rule|History Heuristic|Killer Heuristic|King Safety|Legal Move Generation|Make Move|Mobility|Move Generation|Piece Lists|Pondering|Pseudo-Legal Move Generation|Razoring|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,4,0.0,0.0,760.0,outputs/best_variant_search/candidate_pgn/candidate_07.pgn,outputs/best_variant_search/candidate_logs/candidate_07.log
candidate_08,outputs/best_variant_search/candidate_configs/candidate_08.json,outputs/best_variant_search/candidate_bins/candidate_08,21,Alpha-Beta|Bitboards|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Late Move Reductions|Legal Move Generation|Magic Bitboards|Make Move|Mobility|Move Generation|Pseudo-Legal Move Generation|Replacement Schemes|Tapered Eval|Threefold Repetition|Time Management|UCI|Unmake Move,4,0.0,0.0,760.0,outputs/best_variant_search/candidate_pgn/candidate_08.pgn,outputs/best_variant_search/candidate_logs/candidate_08.log
