variant,board,search,position_id,summary,probe_depth,score_cp,nodes,bestmove,probe_time_s,error
multi_bitboards_minimax,Bitboards,minimax,italian_dev,multi_bitboards_minimax board=Bitboards search=Minimax eval=Material,3,0,1262354,b2b3,3.3820918749988778,
multi_bitboards_minimax,Bitboards,minimax,queen_pawn_dev,multi_bitboards_minimax board=Bitboards search=Minimax eval=Material,3,0,1439645,d3f5,2.100434915992082,
multi_bitboards_minimax,Bitboards,minimax,castle_tension,multi_bitboards_minimax board=Bitboards search=Minimax eval=Material,3,100,10206347,e4d5,14.692567999998573,
multi_bitboards_minimax,Bitboards,minimax,pawn_endgame,multi_bitboards_minimax board=Bitboards search=Minimax eval=Material,3,-100,721,e2e1,0.002667374996235594,
multi_bitboards_minimax,Bitboards,minimax,promotion_race,multi_bitboards_minimax board=Bitboards search=Minimax eval=Material,3,800,896,a7a8q,0.0021845830051461235,
multi_bitboards_minimax_ab,Bitboards,minimax_ab,italian_dev,multi_bitboards_minimax_ab board=Bitboards search=Minimax+AlphaBeta eval=Material,3,0,5265,b2b3,0.014994666998973116,
multi_bitboards_minimax_ab,Bitboards,minimax_ab,queen_pawn_dev,multi_bitboards_minimax_ab board=Bitboards search=Minimax+AlphaBeta eval=Material,3,0,1669,d3f5,0.004750332998810336,
multi_bitboards_minimax_ab,Bitboards,minimax_ab,castle_tension,multi_bitboards_minimax_ab board=Bitboards search=Minimax+AlphaBeta eval=Material,3,100,2261,e4d5,0.005545125008211471,
multi_bitboards_minimax_ab,Bitboards,minimax_ab,pawn_endgame,multi_bitboards_minimax_ab board=Bitboards search=Minimax+AlphaBeta eval=Material,3,-100,282,e2e1,0.0018854170048143715,
multi_bitboards_minimax_ab,Bitboards,minimax_ab,promotion_race,multi_bitboards_minimax_ab board=Bitboards search=Minimax+AlphaBeta eval=Material,3,800,161,a7a8q,0.0019223749986849725,
multi_bitboards_negamax,Bitboards,negamax,italian_dev,multi_bitboards_negamax board=Bitboards search=Negamax eval=Material,3,0,1262340,b2b3,3.3314323750091717,
multi_bitboards_negamax,Bitboards,negamax,queen_pawn_dev,multi_bitboards_negamax board=Bitboards search=Negamax eval=Material,3,0,1439577,d3f5,2.095685375010362,
multi_bitboards_negamax,Bitboards,negamax,castle_tension,multi_bitboards_negamax board=Bitboards search=Negamax eval=Material,3,100,10206347,e4d5,14.68323862500256,
multi_bitboards_negamax,Bitboards,negamax,pawn_endgame,multi_bitboards_negamax board=Bitboards search=Negamax eval=Material,3,-100,721,e2e1,0.0027403749991208315,
multi_bitboards_negamax,Bitboards,negamax,promotion_race,multi_bitboards_negamax board=Bitboards search=Negamax eval=Material,3,800,896,a7a8q,0.002301625005202368,
multi_bitboards_negamax_ab,Bitboards,negamax_ab,italian_dev,multi_bitboards_negamax_ab board=Bitboards search=Negamax+AlphaBeta eval=Material,3,0,5265,b2b3,0.014683250003145076,
multi_bitboards_negamax_ab,Bitboards,negamax_ab,queen_pawn_dev,multi_bitboards_negamax_ab board=Bitboards search=Negamax+AlphaBeta eval=Material,3,0,1669,d3f5,0.004663582993089221,
multi_bitboards_negamax_ab,Bitboards,negamax_ab,castle_tension,multi_bitboards_negamax_ab board=Bitboards search=Negamax+AlphaBeta eval=Material,3,100,2261,e4d5,0.005292333007673733,
multi_bitboards_negamax_ab,Bitboards,negamax_ab,pawn_endgame,multi_bitboards_negamax_ab board=Bitboards search=Negamax+AlphaBeta eval=Material,3,-100,282,e2e1,0.002223999996203929,
multi_bitboards_negamax_ab,Bitboards,negamax_ab,promotion_race,multi_bitboards_negamax_ab board=Bitboards search=Negamax+AlphaBeta eval=Material,3,800,161,a7a8q,0.0017444999975850806,
multi_bitboards_negamax_ab_pvs_id,Bitboards,negamax_ab_pvs_id,italian_dev,multi_bitboards_negamax_ab_pvs_id board=Bitboards search=Negamax+AlphaBeta+PVS+ID eval=Material,3,0,5541,b2b3,0.020992291989387013,
multi_bitboards_negamax_ab_pvs_id,Bitboards,negamax_ab_pvs_id,queen_pawn_dev,multi_bitboards_negamax_ab_pvs_id board=Bitboards search=Negamax+AlphaBeta+PVS+ID eval=Material,3,0,1924,d3f5,0.006069374998332933,
multi_bitboards_negamax_ab_pvs_id,Bitboards,negamax_ab_pvs_id,castle_tension,multi_bitboards_negamax_ab_pvs_id board=Bitboards search=Negamax+AlphaBeta+PVS+ID eval=Material,3,100,2655,e4d5,0.007337667004321702,
multi_bitboards_negamax_ab_pvs_id,Bitboards,negamax_ab_pvs_id,pawn_endgame,multi_bitboards_negamax_ab_pvs_id board=Bitboards search=Negamax+AlphaBeta+PVS+ID eval=Material,3,-40,246,e2e1,0.0024990840029204264,
multi_bitboards_negamax_ab_pvs_id,Bitboards,negamax_ab_pvs_id,promotion_race,multi_bitboards_negamax_ab_pvs_id board=Bitboards search=Negamax+AlphaBeta+PVS+ID eval=Material,3,800,177,a7a8q,0.0021810000034747645,
multi_0x88_minimax,0x88,minimax,italian_dev,multi_0x88_minimax board=0x88 search=Minimax eval=Material,3,0,1389362,b1d2,3.069913875006023,
multi_0x88_minimax,0x88,minimax,queen_pawn_dev,multi_0x88_minimax board=0x88 search=Minimax eval=Material,3,0,1610460,d3f5,1.8962400830059778,
multi_0x88_minimax,0x88,minimax,castle_tension,multi_0x88_minimax board=0x88 search=Minimax eval=Material,3,100,10076921,e4d5,12.168492541997693,
multi_0x88_minimax,0x88,minimax,pawn_endgame,multi_0x88_minimax board=0x88 search=Minimax eval=Material,3,-100,721,e2e1,0.0029431659932015464,
multi_0x88_minimax,0x88,minimax,promotion_race,multi_0x88_minimax board=0x88 search=Minimax eval=Material,3,800,896,a7a8q,0.002658750003320165,
multi_0x88_minimax_ab,0x88,minimax_ab,italian_dev,multi_0x88_minimax_ab board=0x88 search=Minimax+AlphaBeta eval=Material,3,0,4383,b1d2,0.010478875003173016,
multi_0x88_minimax_ab,0x88,minimax_ab,queen_pawn_dev,multi_0x88_minimax_ab board=0x88 search=Minimax+AlphaBeta eval=Material,3,0,1918,d3f5,0.004582959008985199,
multi_0x88_minimax_ab,0x88,minimax_ab,castle_tension,multi_0x88_minimax_ab board=0x88 search=Minimax+AlphaBeta eval=Material,3,100,2261,e4d5,0.004539459012448788,
