variant,board,search,derive_ok,build_ok,build_time_s,perft_pass,perft_depth_5,perft_time_s,summary,error
multi_bitboards_minimax,Bitboards,minimax,True,True,0.3527321250003297,True,4865609,2.0786163750017295,multi_bitboards_minimax board=Bitboards search=Minimax eval=Material,
multi_bitboards_minimax_ab,Bitboards,minimax_ab,True,True,0.3572546249924926,True,4865609,2.0429017080023186,multi_bitboards_minimax_ab board=Bitboards search=Minimax+AlphaBeta eval=Material,
multi_bitboards_negamax,Bitboards,negamax,True,True,0.35410441699787043,True,4865609,1.94764587499958,multi_bitboards_negamax board=Bitboards search=Negamax eval=Material,
multi_bitboards_negamax_ab,Bitboards,negamax_ab,True,True,0.35981795900443103,True,4865609,1.9544356669939589,multi_bitboards_negamax_ab board=Bitboards search=Negamax+AlphaBeta eval=Material,
multi_bitboards_negamax_ab_pvs_id,Bitboards,negamax_ab_pvs_id,True,True,0.3668414579879027,True,4865609,2.211688209004933,multi_bitboards_negamax_ab_pvs_id board=Bitboards search=Negamax+AlphaBeta+PVS+ID eval=Material,
multi_0x88_minimax,0x88,minimax,True,True,0.33935612499772105,True,4865609,1.1509271659888327,multi_0x88_minimax board=0x88 search=Minimax eval=Material,
multi_0x88_minimax_ab,0x88,minimax_ab,True,True,0.3399324170022737,True,4865609,1.1505098750058096,multi_0x88_minimax_ab board=0x88 search=Minimax+AlphaBeta eval=Material,
multi_0x88_negamax,0x88,negamax,True,True,0.3370582499919692,True,4865609,1.145448833995033,multi_0x88_negamax board=0x88 search=Negamax eval=Material,
multi_0x88_negamax_ab,0x88,negamax_ab,True,True,0.33863374999782536,True,4865609,1.1539388329983922,multi_0x88_negamax_ab board=0x88 search=Negamax+AlphaBeta eval=Material,
multi_0x88_negamax_ab_pvs_id,0x88,negamax_ab_pvs_id,True,True,0.38899875000061,True,4865609,1.3574447089922614,multi_0x88_negamax_ab_pvs_id board=0x88 search=Negamax+AlphaBeta+PVS+ID eval=Material,
multi_10x12_minimax,10x12 Board,minimax,True,True,0.3349229580053361,True,4865609,1.300812583998777,multi_10x12_minimax board=10x12 search=Minimax eval=Material,
multi_10x12_minimax_ab,10x12 Board,minimax_ab,True,True,0.3314241670013871,True,4865609,1.1693335000018124,multi_10x12_minimax_ab board=10x12 search=Minimax+AlphaBeta eval=Material,
multi_10x12_negamax,10x12 Board,negamax,True,True,0.3307540829991922,True,4865609,1.1684357910125982,multi_10x12_negamax board=10x12 search=Negamax eval=Material,
multi_10x12_negamax_ab,10x12 Board,negamax_ab,True,True,0.33086341599118896,True,4865609,1.1764333339961013,multi_10x12_negamax_ab board=10x12 search=Negamax+AlphaBeta eval=Material,
multi_10x12_negamax_ab_pvs_id,10x12 Board,negamax_ab_pvs_id,True,True,0.34356895899691153,True,4865609,1.4844465419882908,multi_10x12_negamax_ab_pvs_id board=10x12 search=Negamax+AlphaBeta+PVS+ID eval=Material,
