variant,board,search,derive_ok,build_ok,perft_pass,perft_depth_1,perft_depth_2,perft_depth_3,perft_depth_4,perft_depth_5,build_time_s,perft_time_s,probe_time_s,probe_score_cp,probe_nodes,probe_bestmove,error
pair_bitboards_minimax,Bitboards,minimax,True,True,True,20,400,8902,197281,4865609,0.3215324589982629,2.031697540995083,3.3434765830024844,0,1262354,b2b3,
pair_bitboards_minimax_ab,Bitboards,minimax_ab,True,True,True,20,400,8902,197281,4865609,0.32821599999442697,1.9856853340024827,0.014500207995297387,0,5265,b2b3,
pair_bitboards_negamax,Bitboards,negamax,True,True,True,20,400,8902,197281,4865609,0.32289129198761657,1.990114625004935,3.3438321669964353,0,1262340,b2b3,
pair_bitboards_negamax_ab,Bitboards,negamax_ab,True,True,True,20,400,8902,197281,4865609,0.33211137501348276,2.1372196660086047,0.014610041995183565,0,5265,b2b3,
pair_bitboards_negamax_ab_pvs_id,Bitboards,negamax_ab_pvs_id,True,True,True,20,400,8902,197281,4865609,0.33656833300483413,2.2463266660051886,0.020928917001583613,0,5541,b2b3,
pair_0x88_minimax,0x88,minimax,True,True,True,20,400,8902,197281,4865609,0.3027447910135379,1.2517179580027005,3.073046166988206,0,1389362,b1d2,
pair_0x88_minimax_ab,0x88,minimax_ab,True,True,True,20,400,8902,197281,4865609,0.3081327499967301,1.2235902499960503,0.010550457998760976,0,4383,b1d2,
pair_0x88_negamax,0x88,negamax,True,True,True,20,400,8902,197281,4865609,0.3095019580068765,1.2123668749991339,3.0616783750010654,0,1389358,b1d2,
pair_0x88_negamax_ab,0x88,negamax_ab,True,True,True,20,400,8902,197281,4865609,0.3108421659999294,1.2158413750003092,0.010534250002820045,0,4383,b1d2,
pair_0x88_negamax_ab_pvs_id,0x88,negamax_ab_pvs_id,True,True,True,20,400,8902,197281,4865609,0.3111620420095278,1.459662749999552,0.014214292008546181,0,3886,b1d2,
pair_10x12_minimax,10x12 Board,minimax,True,True,True,20,400,8902,197281,4865609,0.30015087500214577,1.2169224589888472,2.970902291999664,0,1389362,b1d2,
pair_10x12_minimax_ab,10x12 Board,minimax_ab,True,True,True,20,400,8902,197281,4865609,0.30361795899807476,1.2341390419896925,0.010125707995030098,0,4383,b1d2,
pair_10x12_negamax,10x12 Board,negamax,True,True,True,20,400,8902,197281,4865609,0.3007393330044579,1.6239116670039948,2.9812125000025844,0,1389358,b1d2,
pair_10x12_negamax_ab,10x12 Board,negamax_ab,True,True,True,20,400,8902,197281,4865609,0.29584516600880306,1.217378249988542,0.010203541998635046,0,4383,b1d2,
pair_10x12_negamax_ab_pvs_id,10x12 Board,negamax_ab_pvs_id,True,True,True,20,400,8902,197281,4865609,0.31421033400692977,1.4208975000074133,0.012682750006206334,0,3886,b1d2,
