white,black,result,termination,white_score
phase2_10x12_ab_pvs_id,sf2100,1-0,,1.0
sf2100,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2100,1-0,,1.0
sf2100,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2100,1-0,,1.0
sf2100,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2100,1-0,,1.0
sf2100,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2100,1-0,,1.0
sf2100,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2100,1-0,,1.0
sf2100,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2100,1/2-1/2,,0.5
sf2100,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2100,1-0,,1.0
sf2100,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2100,1-0,,1.0
sf2100,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2100,1-0,,1.0
sf2100,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2100,1/2-1/2,,0.5
sf2100,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2100,1-0,,1.0
sf2100,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2150,0-1,,0.0
sf2150,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2150,0-1,,0.0
sf2150,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2150,1-0,,1.0
sf2150,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2150,1-0,,1.0
sf2150,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2150,0-1,,0.0
sf2150,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2150,0-1,,0.0
sf2150,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2150,0-1,,0.0
sf2150,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2150,1-0,,1.0
sf2150,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2150,1-0,,1.0
sf2150,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2150,1-0,,1.0
sf2150,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2150,1-0,,1.0
sf2150,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2150,0-1,,0.0
sf2150,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2200,0-1,,0.0
sf2200,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2200,1-0,,1.0
sf2200,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2200,0-1,,0.0
sf2200,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2200,1-0,,1.0
sf2200,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2200,0-1,,0.0
sf2200,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2200,1/2-1/2,,0.5
sf2200,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2200,0-1,,0.0
sf2200,phase2_10x12_ab_pvs_id,1/2-1/2,,0.5
phase2_10x12_ab_pvs_id,sf2200,0-1,,0.0
sf2200,phase2_10x12_ab_pvs_id,1/2-1/2,,0.5
phase2_10x12_ab_pvs_id,sf2200,1-0,,1.0
sf2200,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2200,1/2-1/2,,0.5
sf2200,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2200,1-0,,1.0
sf2200,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2200,1-0,,1.0
sf2200,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2250,1-0,,1.0
sf2250,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2250,0-1,,0.0
sf2250,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2250,1/2-1/2,,0.5
sf2250,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2250,0-1,,0.0
sf2250,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2250,1-0,,1.0
sf2250,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2250,0-1,,0.0
sf2250,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2250,1-0,,1.0
sf2250,phase2_10x12_ab_pvs_id,1/2-1/2,,0.5
phase2_10x12_ab_pvs_id,sf2250,0-1,,0.0
sf2250,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2250,1-0,,1.0
sf2250,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2250,0-1,,0.0
sf2250,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2250,0-1,,0.0
sf2250,phase2_10x12_ab_pvs_id,1/2-1/2,,0.5
phase2_10x12_ab_pvs_id,sf2250,1-0,,1.0
sf2250,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2300,1/2-1/2,,0.5
sf2300,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2300,0-1,,0.0
sf2300,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2300,0-1,,0.0
sf2300,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2300,1/2-1/2,,0.5
sf2300,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2300,1/2-1/2,,0.5
sf2300,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2300,1-0,,1.0
sf2300,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2300,1/2-1/2,,0.5
sf2300,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2300,1-0,,1.0
sf2300,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2300,1-0,,1.0
sf2300,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2300,1-0,,1.0
sf2300,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2300,1-0,,1.0
sf2300,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2300,1-0,,1.0
sf2300,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2350,1-0,,1.0
sf2350,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2350,0-1,,0.0
sf2350,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2350,1-0,,1.0
sf2350,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2350,0-1,,0.0
sf2350,phase2_10x12_ab_pvs_id,1/2-1/2,,0.5
phase2_10x12_ab_pvs_id,sf2350,0-1,,0.0
sf2350,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2350,1-0,,1.0
sf2350,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2350,0-1,,0.0
sf2350,phase2_10x12_ab_pvs_id,1/2-1/2,,0.5
phase2_10x12_ab_pvs_id,sf2350,1/2-1/2,,0.5
sf2350,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2350,0-1,,0.0
sf2350,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2350,1-0,,1.0
sf2350,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2350,0-1,,0.0
sf2350,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2350,0-1,,0.0
sf2350,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2400,1-0,,1.0
sf2400,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2400,0-1,,0.0
sf2400,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2400,0-1,,0.0
sf2400,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2400,1/2-1/2,,0.5
sf2400,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2400,1-0,,1.0
sf2400,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2400,0-1,,0.0
sf2400,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2400,0-1,,0.0
sf2400,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2400,1/2-1/2,,0.5
sf2400,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2400,1-0,,1.0
sf2400,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2400,1-0,,1.0
sf2400,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2400,1-0,,1.0
sf2400,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2400,1-0,,1.0
sf2400,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2450,1-0,,1.0
sf2450,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2450,0-1,,0.0
sf2450,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2450,0-1,,0.0
sf2450,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2450,1-0,,1.0
sf2450,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2450,0-1,,0.0
sf2450,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2450,1/2-1/2,,0.5
sf2450,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2450,1-0,,1.0
sf2450,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2450,0-1,,0.0
sf2450,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2450,1-0,,1.0
sf2450,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2450,1-0,,1.0
