player,kind,games,wins,draws,losses,score,score_pct
phase2_10x12_ab_pvs_id,variant,216,97,23,96,108.5,50.231481481481474
sf2450,stockfish,24,15,1,8,15.5,64.58333333333334
sf2250,stockfish,24,14,3,7,15.5,64.58333333333334
sf2500,stockfish,24,12,4,8,14.0,58.333333333333336
sf2350,stockfish,24,12,3,9,13.5,56.25
sf2400,stockfish,24,12,2,10,13.0,54.166666666666664
sf2200,stockfish,24,9,4,11,11.0,45.83333333333333
sf2150,stockfish,24,10,0,14,10.0,41.66666666666667
sf2300,stockfish,24,7,4,13,9.0,37.5
sf2100,stockfish,24,5,2,17,6.0,25.0
