white,black,result,termination,white_score
elo_variant_fixed_01,stockfish_2500,0-1,,0.0
stockfish_2500,elo_variant_fixed_01,1-0,,1.0
elo_variant_fixed_02,stockfish_2150,0-1,,0.0
stockfish_2150,elo_variant_fixed_02,1-0,,1.0
stockfish_1320,stockfish_1800,0-1,,0.0
stockfish_1800,stockfish_1320,1-0,,1.0
elo_variant_fixed_01,stockfish_2150,0-1,,0.0
stockfish_2150,elo_variant_fixed_01,1-0,,1.0
stockfish_2500,stockfish_1800,1-0,,1.0
stockfish_1800,stockfish_2500,0-1,,0.0
elo_variant_fixed_02,stockfish_1320,0-1,,0.0
stockfish_1320,elo_variant_fixed_02,1-0,,1.0
elo_variant_fixed_01,stockfish_1800,0-1,,0.0
stockfish_1800,elo_variant_fixed_01,1-0,,1.0
stockfish_2150,stockfish_1320,1-0,,1.0
stockfish_1320,stockfish_2150,0-1,,0.0
stockfish_2500,elo_variant_fixed_02,1-0,,1.0
elo_variant_fixed_02,stockfish_2500,0-1,,0.0
elo_variant_fixed_01,stockfish_1320,0-1,,0.0
stockfish_1320,elo_variant_fixed_01,1-0,,1.0
stockfish_1800,elo_variant_fixed_02,1-0,,1.0
elo_variant_fixed_02,stockfish_1800,0-1,,0.0
stockfish_2150,stockfish_2500,1-0,,1.0
stockfish_2500,stockfish_2150,1-0,,1.0
elo_variant_fixed_01,elo_variant_fixed_02,1/2-1/2,,0.5
elo_variant_fixed_02,elo_variant_fixed_01,1/2-1/2,,0.5
stockfish_1320,stockfish_2500,0-1,,0.0
stockfish_2500,stockfish_1320,1-0,,1.0
stockfish_1800,stockfish_2150,1-0,,1.0
stockfish_2150,stockfish_1800,1-0,,1.0
elo_variant_fixed_01,stockfish_2500,0-1,,0.0
stockfish_2500,elo_variant_fixed_01,1-0,,1.0
elo_variant_fixed_02,stockfish_2150,0-1,,0.0
stockfish_2150,elo_variant_fixed_02,1-0,,1.0
stockfish_1320,stockfish_1800,0-1,,0.0
stockfish_1800,stockfish_1320,1/2-1/2,,0.5
elo_variant_fixed_01,stockfish_2150,0-1,,0.0
stockfish_2150,elo_variant_fixed_01,1-0,,1.0
stockfish_2500,stockfish_1800,0-1,,0.0
stockfish_1800,stockfish_2500,0-1,,0.0
elo_variant_fixed_02,stockfish_1320,0-1,,0.0
stockfish_1320,elo_variant_fixed_02,1-0,,1.0
elo_variant_fixed_01,stockfish_1800,0-1,,0.0
stockfish_1800,elo_variant_fixed_01,1-0,,1.0
stockfish_2150,stockfish_1320,1-0,,1.0
stockfish_1320,stockfish_2150,0-1,,0.0
stockfish_2500,elo_variant_fixed_02,1-0,,1.0
elo_variant_fixed_02,stockfish_2500,0-1,,0.0
elo_variant_fixed_01,stockfish_1320,0-1,,0.0
stockfish_1320,elo_variant_fixed_01,1-0,,1.0
stockfish_1800,elo_variant_fixed_02,1-0,,1.0
elo_variant_fixed_02,stockfish_1800,0-1,,0.0
stockfish_2150,stockfish_2500,0-1,,0.0
stockfish_2500,stockfish_2150,1-0,,1.0
elo_variant_fixed_01,elo_variant_fixed_02,1/2-1/2,,0.5
elo_variant_fixed_02,elo_variant_fixed_01,1/2-1/2,,0.5
stockfish_1320,stockfish_2500,0-1,,0.0
stockfish_2500,stockfish_1320,1-0,,1.0
stockfish_1800,stockfish_2150,0-1,,0.0
stockfish_2150,stockfish_1800,1-0,,1.0
elo_variant_fixed_01,stockfish_2500,0-1,,0.0
stockfish_2500,elo_variant_fixed_01,1-0,,1.0
elo_variant_fixed_02,stockfish_2150,0-1,,0.0
stockfish_2150,elo_variant_fixed_02,1-0,,1.0
stockfish_1320,stockfish_1800,0-1,,0.0
stockfish_1800,stockfish_1320,1-0,,1.0
elo_variant_fixed_01,stockfish_2150,0-1,,0.0
stockfish_2150,elo_variant_fixed_01,1-0,,1.0
stockfish_2500,stockfish_1800,1-0,,1.0
stockfish_1800,stockfish_2500,1/2-1/2,,0.5
elo_variant_fixed_02,stockfish_1320,0-1,,0.0
stockfish_1320,elo_variant_fixed_02,1-0,,1.0
elo_variant_fixed_01,stockfish_1800,0-1,,0.0
stockfish_1800,elo_variant_fixed_01,1-0,,1.0
stockfish_2150,stockfish_1320,1-0,,1.0
stockfish_1320,stockfish_2150,0-1,,0.0
stockfish_2500,elo_variant_fixed_02,1-0,,1.0
elo_variant_fixed_02,stockfish_2500,0-1,,0.0
elo_variant_fixed_01,stockfish_1320,0-1,,0.0
stockfish_1320,elo_variant_fixed_01,1-0,,1.0
stockfish_1800,elo_variant_fixed_02,1-0,,1.0
elo_variant_fixed_02,stockfish_1800,0-1,,0.0
stockfish_2150,stockfish_2500,0-1,,0.0
stockfish_2500,stockfish_2150,1-0,,1.0
elo_variant_fixed_01,elo_variant_fixed_02,1/2-1/2,,0.5
elo_variant_fixed_02,elo_variant_fixed_01,1/2-1/2,,0.5
stockfish_1320,stockfish_2500,0-1,,0.0
stockfish_2500,stockfish_1320,1-0,,1.0
stockfish_1800,stockfish_2150,1-0,,1.0
stockfish_2150,stockfish_1800,1-0,,1.0
