game,opening_index,white,black,result,termination,variant_score,variant_color,illegal,elapsed_sec,variant_avg_depth,variant_max_depth,stockfish_avg_depth,stockfish_max_depth,ply_count,variant_move_count,variant_nodes_total,variant_tt_probe_total,variant_tt_hit_total,variant_tt_cut_total,variant_tt_store_total,variant_eval_total,variant_eval_cache_hit_total,variant_movegen_total,variant_attack_total,variant_beta_cut_total
1,1,phase3_full_eval_after_commonality_opt,stockfish_2500,1-0,checkmate,1.0,white,False,160.246,6.52,11,38.34,245,91,42,66264064,15602760,5087714,3470432,6854733,52441269,10773738,26771189,618221725,5751401
2,1,stockfish_2500,phase3_full_eval_after_commonality_opt,1-0,checkmate,0.0,black,False,142.357,7.03,10,34.49,245,81,36,58752000,14627383,5400828,3636922,6362068,45583404,10653707,24197120,534064472,5176564
3,2,phase3_full_eval_after_commonality_opt,stockfish_2500,1-0,checkmate,1.0,white,False,160.234,7.4,10,41.54,245,91,42,84354048,24339563,8545484,5856542,10576058,63229662,15442896,35573564,836066258,8610710
4,2,stockfish_2500,phase3_full_eval_after_commonality_opt,1/2-1/2,threefold_repetition,0.5,black,False,192.314,7.71,11,19.85,29,104,48,103246848,33921825,11977042,8493350,14453226,77290086,19077614,43346569,1075967465,11457148
5,3,phase3_full_eval_after_commonality_opt,stockfish_2500,1-0,checkmate,1.0,white,False,206.206,7.3,9,30.65,245,113,53,122037248,41223674,12987113,9472976,17612568,91238187,20994051,50141437,1170447707,14754008
6,3,stockfish_2500,phase3_full_eval_after_commonality_opt,1-0,checkmate,0.0,black,False,106.115,6.85,10,27.22,178,61,26,40979364,9353601,3112788,2103506,4105969,31559622,6614542,17943801,395655055,3429147
7,4,phase3_full_eval_after_commonality_opt,stockfish_2500,1-0,checkmate,1.0,white,False,158.597,7.76,11,44.1,245,91,42,104354816,41518857,17346098,13868391,15471340,70551323,20973897,44359344,946988402,12573766
8,4,stockfish_2500,phase3_full_eval_after_commonality_opt,1/2-1/2,move_cap,0.5,black,False,316.125,15.35,29,34.33,245,168,80,330170368,189818380,110075813,93769569,55671765,171692091,71610643,136391360,2466956159,42222746
9,5,phase3_full_eval_after_commonality_opt,stockfish_2500,1-0,checkmate,1.0,white,False,224.32,9.34,13,35.96,245,123,58,176776192,78188419,33673267,25908382,29996979,117693225,35296940,76744071,1730643478,23182789
10,5,stockfish_2500,phase3_full_eval_after_commonality_opt,1/2-1/2,threefold_repetition,0.5,black,False,178.129,7.57,10,20.18,27,97,44,78775296,22296292,7041138,4803496,9861527,60551252,11300352,36036540,892764129,8044808
11,6,phase3_full_eval_after_commonality_opt,stockfish_2500,1-0,checkmate,1.0,white,False,208.168,7.83,12,33.4,245,115,54,118443008,39510822,15542327,11692955,15750050,86907997,22873888,49416301,1247014240,12549690
12,6,stockfish_2500,phase3_full_eval_after_commonality_opt,0-1,checkmate,1.0,black,False,186.993,7.42,9,38.81,245,104,48,105434112,29731111,11567862,8467956,12161374,80950088,22714728,39948758,940324252,9583950
13,7,phase3_full_eval_after_commonality_opt,stockfish_2500,1-0,checkmate,1.0,white,False,167.169,6.14,8,30.74,245,93,43,66419712,15064407,4669804,3378713,6481681,52449754,10817522,28958119,558453077,5561591
14,7,stockfish_2500,phase3_full_eval_after_commonality_opt,1/2-1/2,threefold_repetition,0.5,black,False,210.29,7.35,15,18.81,25,113,52,97076224,33636195,11989620,8251207,14555101,73476670,15483960,40631163,977594892,11370235
15,8,phase3_full_eval_after_commonality_opt,stockfish_2500,1-0,checkmate,1.0,white,False,158.663,7.02,10,39.2,245,89,41,88812544,26091905,9371428,6921770,10790814,68590301,16660053,34273495,866620011,8897007
16,8,stockfish_2500,phase3_full_eval_after_commonality_opt,1-0,checkmate,0.0,black,False,94.241,7.18,9,104.59,245,65,28,47454208,12553689,4334602,3152651,5267194,35870454,8075809,18983738,449121618,4489077
17,9,phase3_full_eval_after_commonality_opt,stockfish_2500,1/2-1/2,threefold_repetition,0.5,white,False,266.134,9.3,14,18.74,23,141,67,212344832,97797639,44894337,35068613,36272117,139726473,47883956,87587070,1845041403,27037284
18,9,stockfish_2500,phase3_full_eval_after_commonality_opt,1/2-1/2,move_cap,0.5,black,False,299.638,11.06,16,70.96,245,168,80,322053120,174791304,90244374,73764577,58223647,190158781,75583162,122780271,2688614495,43184146
19,10,phase3_full_eval_after_commonality_opt,stockfish_2500,1-0,checkmate,1.0,white,False,174.156,6.89,9,31.91,245,97,45,86529024,22796031,7612626,5178137,10014461,66660439,14178289,35598147,857795952,8136095
20,10,stockfish_2500,phase3_full_eval_after_commonality_opt,1-0,checkmate,0.0,black,False,102.1,6.76,9,20.23,59,59,25,34408448,6359900,2180166,1462873,2804622,27758332,5862725,12898424,345360925,2276046
