white,black,result,termination,white_score
stratified_variant_28,sf2100,0-1,,0.0
sf2100,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2100,0-1,,0.0
sf2100,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2100,0-1,,0.0
sf2100,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2100,0-1,,0.0
sf2100,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2100,1-0,,1.0
sf2100,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2100,1-0,,1.0
sf2100,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2100,0-1,,0.0
sf2100,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2100,1-0,,1.0
sf2100,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2100,1-0,,1.0
sf2100,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2100,1-0,,1.0
sf2100,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2100,1-0,,1.0
sf2100,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2100,0-1,,0.0
sf2100,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2150,0-1,,0.0
sf2150,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2150,0-1,,0.0
sf2150,stratified_variant_28,1/2-1/2,,0.5
stratified_variant_28,sf2150,1-0,,1.0
sf2150,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2150,0-1,,0.0
sf2150,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2150,0-1,,0.0
sf2150,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2150,0-1,,0.0
sf2150,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2150,1-0,,1.0
sf2150,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2150,1-0,,1.0
sf2150,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2150,0-1,,0.0
sf2150,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2150,0-1,,0.0
sf2150,stratified_variant_28,1/2-1/2,,0.5
stratified_variant_28,sf2150,1-0,,1.0
sf2150,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2150,1-0,,1.0
sf2150,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2200,0-1,,0.0
sf2200,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2200,1-0,,1.0
sf2200,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2200,1-0,,1.0
sf2200,stratified_variant_28,1/2-1/2,,0.5
stratified_variant_28,sf2200,1-0,,1.0
sf2200,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2200,0-1,,0.0
sf2200,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2200,1-0,,1.0
sf2200,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2200,0-1,,0.0
sf2200,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2200,1/2-1/2,,0.5
sf2200,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2200,0-1,,0.0
sf2200,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2200,1-0,,1.0
sf2200,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2200,0-1,,0.0
sf2200,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2200,0-1,,0.0
sf2200,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2250,0-1,,0.0
sf2250,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2250,0-1,,0.0
sf2250,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2250,0-1,,0.0
sf2250,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2250,0-1,,0.0
sf2250,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2250,1/2-1/2,,0.5
sf2250,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2250,0-1,,0.0
sf2250,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2250,1-0,,1.0
sf2250,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2250,0-1,,0.0
sf2250,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2250,0-1,,0.0
sf2250,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2250,0-1,,0.0
sf2250,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2250,1-0,,1.0
sf2250,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2250,0-1,,0.0
sf2250,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2300,1-0,,1.0
sf2300,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2300,0-1,,0.0
sf2300,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2300,1-0,,1.0
sf2300,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2300,1-0,,1.0
sf2300,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2300,1-0,,1.0
sf2300,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2300,1/2-1/2,,0.5
sf2300,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2300,1-0,,1.0
sf2300,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2300,0-1,,0.0
sf2300,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2300,1-0,,1.0
sf2300,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2300,1-0,,1.0
sf2300,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2300,1-0,,1.0
sf2300,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2300,0-1,,0.0
sf2300,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2350,0-1,,0.0
sf2350,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2350,1-0,,1.0
sf2350,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2350,0-1,,0.0
sf2350,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2350,1-0,,1.0
sf2350,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2350,0-1,,0.0
sf2350,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2350,1-0,,1.0
sf2350,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2350,1-0,,1.0
sf2350,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2350,1/2-1/2,,0.5
sf2350,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2350,1-0,,1.0
sf2350,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2350,0-1,,0.0
sf2350,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2350,1-0,,1.0
sf2350,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2350,0-1,,0.0
sf2350,stratified_variant_28,1/2-1/2,,0.5
stratified_variant_28,sf2400,1/2-1/2,,0.5
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,1-0,,1.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2400,0-1,,0.0
sf2400,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2450,1-0,,1.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,1/2-1/2,,0.5
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2450,1-0,,1.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2450,1-0,,1.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,1-0,,1.0
sf2500,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,1-0,,1.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2500,0-1,,0.0
sf2500,stratified_variant_28,0-1,,0.0
