player,kind,games,wins,draws,losses,score,score_pct
stratified_variant_28,variant,216,70,10,136,75.0,34.72222222222222
sf2400,stockfish,24,20,1,3,20.5,85.41666666666666
sf2250,stockfish,24,19,1,4,19.5,81.25
sf2500,stockfish,24,19,0,5,19.0,79.16666666666666
sf2450,stockfish,24,17,1,6,17.5,72.91666666666666
sf2200,stockfish,24,14,2,8,15.0,62.5
sf2300,stockfish,24,13,1,10,13.5,56.25
sf2100,stockfish,24,12,0,12,12.0,50.0
sf2150,stockfish,24,11,2,11,12.0,50.0
sf2350,stockfish,24,11,2,11,12.0,50.0
