variant_name,source_kind,role,config_path,selected_feature_count,selected_features,board_family,search_tier,eval_tier,feature_count_bin,stratum
pool_variant_001,random_sample,sampled,outputs/stratified_variant_experiment_n100_fullrun/pool_configs/pool_variant_001.json,25,10x12 Board|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Killer Heuristic|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Passed Pawn|Pawn Hash Table|Pondering|Replacement Schemes|Rook Semi-Open File|Static Exchange Evaluation|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,10x12 Board,negamax,rich_eval,medium,10x12 Board__negamax__rich_eval
pool_variant_002,random_sample,sampled,outputs/stratified_variant_experiment_n100_fullrun/pool_configs/pool_variant_002.json,35,10x12 Board|Alpha-Beta|Aspiration Windows|Bishop Pair|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|History Heuristic|Isolated Pawn|Iterative Deepening|King Pressure|King Shelter|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Passed Pawn|Pawn Hash Table|Piece-Square Tables|Principal Variation Search|Razoring|Replacement Schemes|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,10x12 Board,pruning_full,rich_eval,high,10x12 Board__pruning_full__rich_eval
pool_variant_003,random_sample,sampled,outputs/stratified_variant_experiment_n100_fullrun/pool_configs/pool_variant_003.json,28,Alpha-Beta|Aspiration Windows|Bitboards|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|Killer Heuristic|King Activity|Legal Move Generation|Make Move|Minimax|Mobility|Move Generation|Move Ordering|Opening Book|Pawn Hash Table|Piece-Square Tables|Razoring|Rook on Open File|Tapered Eval|Threefold Repetition|Time Management|UCI|Unmake Move|Zobrist Hashing,Bitboards,minimax,rich_eval,medium,Bitboards__minimax__rich_eval
pool_variant_004,random_sample,sampled,outputs/stratified_variant_experiment_n100_fullrun/pool_configs/pool_variant_004.json,32,Alpha-Beta|Bitboards|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|History Heuristic|King Activity|King Pressure|King Shelter|Late Move Reductions|Legal Move Generation|Magic Bitboards|Make Move|Minimax|Mobility|Move Generation|Move Ordering|Passed Pawn|Pawn Hash Table|Principal Variation Search|Quiescence Search|Rook on Open File|Rook Semi-Open File|Tapered Eval|Threefold Repetition|UCI|Unmake Move|Zobrist Hashing,Bitboards,minimax,rich_eval,high,Bitboards__minimax__rich_eval
pool_variant_005,random_sample,sampled,outputs/stratified_variant_experiment_n100_fullrun/pool_configs/pool_variant_005.json,23,0x88|Alpha-Beta|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|King Shelter|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Quiescence Search|Replacement Schemes|Threefold Repetition|Transposition Table|UCI|Unmake Move,0x88,alpha_beta,rich_eval,medium,0x88__alpha_beta__rich_eval
pool_variant_006,random_sample,sampled,outputs/stratified_variant_experiment_n100_fullrun/pool_configs/pool_variant_006.json,29,Alpha-Beta|Bishop Pair|Bitboards|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|History Heuristic|King Activity|Legal Move Generation|Magic Bitboards|Make Move|Move Generation|Move Ordering|Negamax|Piece Lists|Piece-Square Tables|Quiescence Search|Rook on Open File|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,Bitboards,alpha_beta,rich_eval,medium,Bitboards__alpha_beta__rich_eval
pool_variant_007,random_sample,sampled,outputs/stratified_variant_experiment_n100_fullrun/pool_configs/pool_variant_007.json,30,10x12 Board|Alpha-Beta|Castling|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|History Heuristic|Isolated Pawn|Iterative Deepening|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Null Move Pruning|Passed Pawn|Pawn Hash Table|Quiescence Search|Razoring|Static Exchange Evaluation|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,10x12 Board,pruning_full,rich_eval,medium,10x12 Board__pruning_full__rich_eval
pool_variant_008,random_sample,sampled,outputs/stratified_variant_experiment_n100_fullrun/pool_configs/pool_variant_008.json,25,0x88|Alpha-Beta|Aspiration Windows|Bishop Pair|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Killer Heuristic|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Null Move Pruning|Principal Variation Search|Quiescence Search|Replacement Schemes|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move,0x88,minimax,rich_eval,medium,0x88__minimax__rich_eval
pool_variant_009,random_sample,sampled,outputs/stratified_variant_experiment_n100_fullrun/pool_configs/pool_variant_009.json,25,10x12 Board|Alpha-Beta|Aspiration Windows|Castling|Copy-Make|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|Iterative Deepening|Killer Heuristic|King Pressure|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Null Move Pruning|Pseudo-Legal Move Generation|Rook on Open File|Threefold Repetition|UCI|Unmake Move,10x12 Board,minimax,rich_eval,medium,10x12 Board__minimax__rich_eval
pool_variant_010,random_sample,sampled,outputs/stratified_variant_experiment_n100_fullrun/pool_configs/pool_variant_010.json,30,Alpha-Beta|Aspiration Windows|Bishop Pair|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|Iterative Deepening|Killer Heuristic|King Activity|King Shelter|Legal Move Generation|Mailbox|Make Move|Minimax|Mobility|Move Generation|Move Ordering|Principal Variation Search|Quiescence Search|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move,Mailbox,minimax,rich_eval,medium,Mailbox__minimax__rich_eval
