variant_name,source_kind,role,config_path,selected_feature_count,selected_features,board_family,search_tier,eval_tier,feature_count_bin,stratum
stratified_variant_01,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_01.json,24,Alpha-Beta|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Iterative Deepening|Late Move Reductions|Legal Move Generation|Mailbox|Make Move|Minimax|Move Generation|Move Ordering|Passed Pawn|Piece Lists|Piece-Square Tables|Quiescence Search|Threefold Repetition|Transposition Table|UCI|Unmake Move,Mailbox,minimax,structural_eval,medium,Mailbox__minimax__structural_eval
stratified_variant_02,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_02.json,24,Alpha-Beta|Bitboards|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Iterative Deepening|Late Move Reductions|Legal Move Generation|Magic Bitboards|Make Move|Move Generation|Move Ordering|Negamax|Passed Pawn|Razoring|Replacement Schemes|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,Bitboards,pruning_full,structural_eval,medium,Bitboards__pruning_full__structural_eval
stratified_variant_03,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_03.json,28,10x12 Board|Alpha-Beta|Aspiration Windows|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|King Activity|King Shelter|Late Move Reductions|Legal Move Generation|Make Move|Move Generation|Negamax|Null Move Pruning|Piece Lists|Piece-Square Tables|Principal Variation Search|Pseudo-Legal Move Generation|Replacement Schemes|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,10x12 Board,pruning_full,rich_eval,medium,10x12 Board__pruning_full__rich_eval
stratified_variant_04,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_04.json,21,0x88|Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Killer Heuristic|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Piece Lists|Piece-Square Tables|Razoring|Threefold Repetition|Transposition Table|UCI|Unmake Move,0x88,minimax,pst_eval,medium,0x88__minimax__pst_eval
stratified_variant_05,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_05.json,23,10x12 Board|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|King Activity|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Passed Pawn|Piece Lists|Pseudo-Legal Move Generation|Razoring|Rook on Open File|Tapered Eval|Threefold Repetition|Time Management|UCI|Unmake Move,10x12 Board,negamax,rich_eval,medium,10x12 Board__negamax__rich_eval
stratified_variant_06,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_06.json,27,Alpha-Beta|Aspiration Windows|Bitboards|Castling|Connected Pawn|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|King Activity|King Shelter|Late Move Reductions|Legal Move Generation|Magic Bitboards|Make Move|Mobility|Move Generation|Negamax|Passed Pawn|Piece-Square Tables|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|UCI|Unmake Move,Bitboards,alpha_beta,rich_eval,medium,Bitboards__alpha_beta__rich_eval
stratified_variant_07,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_07.json,21,10x12 Board|Alpha-Beta|Castling|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Killer Heuristic|Late Move Reductions|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Principal Variation Search|Replacement Schemes|Threefold Repetition|Transposition Table|UCI|Unmake Move,10x12 Board,minimax,structural_eval,medium,10x12 Board__minimax__structural_eval
stratified_variant_08,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_08.json,24,Bitboards|Castling|Copy-Make|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Killer Heuristic|King Activity|Legal Move Generation|Magic Bitboards|Make Move|Move Generation|Move Ordering|Negamax|Quiescence Search|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move,Bitboards,negamax,rich_eval,medium,Bitboards__negamax__rich_eval
stratified_variant_09,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_09.json,29,0x88|Alpha-Beta|Aspiration Windows|Castling|Connected Pawn|Copy-Make|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Iterative Deepening|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Pawn Hash Table|Pondering|Quiescence Search|Razoring|Rook Semi-Open File|Static Exchange Evaluation|Threefold Repetition|Time Management|UCI|Unmake Move|Zobrist Hashing,0x88,pruning_full,rich_eval,medium,0x88__pruning_full__rich_eval
stratified_variant_10,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_10.json,26,Alpha-Beta|Bitboards|Castling|Connected Pawn|Delta Pruning|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Killer Heuristic|Late Move Reductions|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Null Move Pruning|Passed Pawn|Quiescence Search|Razoring|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,Bitboards,minimax,structural_eval,medium,Bitboards__minimax__structural_eval
stratified_variant_11,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_11.json,34,Alpha-Beta|Aspiration Windows|Bishop Pair|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Isolated Pawn|Killer Heuristic|King Pressure|Legal Move Generation|Mailbox|Make Move|Minimax|Move Generation|Move Ordering|Piece Lists|Piece-Square Tables|Pondering|Principal Variation Search|Quiescence Search|Razoring|Replacement Schemes|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Mailbox,minimax,rich_eval,high,Mailbox__minimax__rich_eval
stratified_variant_12,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_12.json,25,Alpha-Beta|Bitboards|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|Isolated Pawn|King Pressure|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Opening Book|Pseudo-Legal Move Generation|Razoring|Replacement Schemes|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,Bitboards,minimax,rich_eval,medium,Bitboards__minimax__rich_eval
stratified_variant_13,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_13.json,28,Alpha-Beta|Bitboards|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Iterative Deepening|King Activity|King Pressure|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Principal Variation Search|Quiescence Search|Rook on Open File|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,Bitboards,pvs_id,rich_eval,medium,Bitboards__pvs_id__rich_eval
stratified_variant_14,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_14.json,24,Alpha-Beta|Castling|Connected Pawn|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|History Heuristic|Iterative Deepening|Killer Heuristic|Late Move Reductions|Legal Move Generation|Mailbox|Make Move|Move Generation|Move Ordering|Negamax|Piece Lists|Threefold Repetition|Transposition Table|UCI|Unmake Move,Mailbox,pruning_full,structural_eval,medium,Mailbox__pruning_full__structural_eval
stratified_variant_15,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_15.json,26,Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Isolated Pawn|Iterative Deepening|King Activity|Legal Move Generation|Mailbox|Make Move|Move Generation|Move Ordering|Negamax|Null Move Pruning|Opening Book|Pawn Hash Table|Replacement Schemes|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Mailbox,pruning_full,rich_eval,medium,Mailbox__pruning_full__rich_eval
stratified_variant_16,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_16.json,22,Alpha-Beta|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|King Activity|Legal Move Generation|Mailbox|Make Move|Mobility|Move Generation|Negamax|Pawn Hash Table|Quiescence Search|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|UCI|Unmake Move|Zobrist Hashing,Mailbox,alpha_beta,rich_eval,medium,Mailbox__alpha_beta__rich_eval
stratified_variant_17,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_17.json,27,10x12 Board|Alpha-Beta|Aspiration Windows|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Isolated Pawn|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Null Move Pruning|Pawn Hash Table|Pondering|Quiescence Search|Replacement Schemes|Static Exchange Evaluation|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,10x12 Board,alpha_beta,rich_eval,medium,10x12 Board__alpha_beta__rich_eval
stratified_variant_18,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_18.json,26,Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|Iterative Deepening|Late Move Reductions|Legal Move Generation|Mailbox|Make Move|Minimax|Move Generation|Move Ordering|Null Move Pruning|Piece Lists|Piece-Square Tables|Pseudo-Legal Move Generation|Replacement Schemes|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Mailbox,minimax,pst_eval,medium,Mailbox__minimax__pst_eval
stratified_variant_19,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_19.json,32,10x12 Board|Alpha-Beta|Aspiration Windows|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|Isolated Pawn|King Activity|King Shelter|Legal Move Generation|Make Move|Minimax|Mobility|Move Generation|Move Ordering|Piece-Square Tables|Pondering|Quiescence Search|Razoring|Rook Semi-Open File|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,10x12 Board,minimax,rich_eval,high,10x12 Board__minimax__rich_eval
stratified_variant_20,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_20.json,27,0x88|Alpha-Beta|Castling|Connected Pawn|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|History Heuristic|Killer Heuristic|King Pressure|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Piece Lists|Rook on Open File|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move,0x88,alpha_beta,rich_eval,medium,0x88__alpha_beta__rich_eval
stratified_variant_21,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_21.json,27,Alpha-Beta|Bitboards|Castling|Connected Pawn|Copy-Make|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Killer Heuristic|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Piece Lists|Piece-Square Tables|Quiescence Search|Razoring|Replacement Schemes|Threefold Repetition|Transposition Table|UCI|Unmake Move,Bitboards,alpha_beta,structural_eval,medium,Bitboards__alpha_beta__structural_eval
stratified_variant_22,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_22.json,24,Castling|Connected Pawn|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Iterative Deepening|King Pressure|Legal Move Generation|Mailbox|Make Move|Move Generation|Negamax|Piece-Square Tables|Pondering|Quiescence Search|Rook Semi-Open File|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Mailbox,negamax,rich_eval,medium,Mailbox__negamax__rich_eval
stratified_variant_23,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_23.json,21,Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|History Heuristic|Legal Move Generation|Mailbox|Make Move|Minimax|Move Generation|Move Ordering|Opening Book|Pondering|Threefold Repetition|Transposition Table|UCI|Unmake Move,Mailbox,minimax,material_eval,medium,Mailbox__minimax__material_eval
stratified_variant_24,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_24.json,32,Alpha-Beta|Bitboards|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Isolated Pawn|Killer Heuristic|King Activity|King Pressure|Late Move Reductions|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Passed Pawn|Principal Variation Search|Replacement Schemes|Rook on Open File|Rook Semi-Open File|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Bitboards,pruning_full,rich_eval,high,Bitboards__pruning_full__rich_eval
stratified_variant_25,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_25.json,22,Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|Legal Move Generation|Mailbox|Make Move|Move Generation|Negamax|Opening Book|Piece-Square Tables|Pondering|Principal Variation Search|Rook Semi-Open File|Static Exchange Evaluation|Threefold Repetition|Transposition Table|UCI|Unmake Move,Mailbox,pvs_id,rich_eval,medium,Mailbox__pvs_id__rich_eval
stratified_variant_26,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_26.json,25,0x88|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|History Heuristic|Iterative Deepening|Killer Heuristic|King Pressure|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Quiescence Search|Rook on Open File|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,0x88,negamax,rich_eval,medium,0x88__negamax__rich_eval
stratified_variant_27,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_27.json,25,10x12 Board|Alpha-Beta|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Iterative Deepening|King Activity|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Passed Pawn|Principal Variation Search|Rook on Open File|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move,10x12 Board,pvs_id,rich_eval,medium,10x12 Board__pvs_id__rich_eval
stratified_variant_28,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_28.json,27,0x88|Alpha-Beta|Castling|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|Iterative Deepening|Killer Heuristic|Late Move Reductions|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Null Move Pruning|Piece Lists|Piece-Square Tables|Pondering|Pseudo-Legal Move Generation|Quiescence Search|Razoring|Threefold Repetition|UCI|Unmake Move,0x88,minimax,structural_eval,medium,0x88__minimax__structural_eval
stratified_variant_29,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_29.json,26,Alpha-Beta|Aspiration Windows|Castling|Copy-Make|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Legal Move Generation|Mailbox|Make Move|Move Generation|Move Ordering|Negamax|Passed Pawn|Piece Lists|Piece-Square Tables|Pseudo-Legal Move Generation|Quiescence Search|Razoring|Threefold Repetition|Transposition Table|UCI|Unmake Move,Mailbox,alpha_beta,structural_eval,medium,Mailbox__alpha_beta__structural_eval
