variant_name,source_kind,role,config_path,selected_feature_count,selected_features,board_family,search_tier,eval_tier,feature_count_bin,stratum
pool_variant_001,random_sample,sampled,outputs/stratified_variant_experiment_smoke_build/pool_configs/pool_variant_001.json,26,Alpha-Beta|Aspiration Windows|Bishop Pair|Castling|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Iterative Deepening|King Pressure|Legal Move Generation|Mailbox|Make Move|Minimax|Mobility|Move Generation|Principal Variation Search|Razoring|Rook on Open File|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Mailbox,minimax,rich_eval,medium,Mailbox__minimax__rich_eval
pool_variant_002,random_sample,sampled,outputs/stratified_variant_experiment_smoke_build/pool_configs/pool_variant_002.json,23,Alpha-Beta|Aspiration Windows|Bishop Pair|Bitboards|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|King Activity|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Piece Lists|Pseudo-Legal Move Generation|Razoring|Tapered Eval|Threefold Repetition|Time Management|UCI|Unmake Move,Bitboards,alpha_beta,rich_eval,medium,Bitboards__alpha_beta__rich_eval
pool_variant_003,random_sample,sampled,outputs/stratified_variant_experiment_smoke_build/pool_configs/pool_variant_003.json,25,Alpha-Beta|Bitboards|Castling|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|King Pressure|Legal Move Generation|Make Move|Move Generation|Negamax|Pondering|Quiescence Search|Rook on Open File|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Bitboards,alpha_beta,rich_eval,medium,Bitboards__alpha_beta__rich_eval
pool_variant_004,random_sample,sampled,outputs/stratified_variant_experiment_smoke_build/pool_configs/pool_variant_004.json,21,0x88|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|King Shelter|Legal Move Generation|Make Move|Minimax|Move Generation|Opening Book|Piece-Square Tables|Rook Semi-Open File|Tapered Eval|Threefold Repetition|UCI|Unmake Move|Zobrist Hashing,0x88,minimax,rich_eval,medium,0x88__minimax__rich_eval
pool_variant_005,random_sample,sampled,outputs/stratified_variant_experiment_smoke_build/pool_configs/pool_variant_005.json,25,Alpha-Beta|Aspiration Windows|Castling|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Legal Move Generation|Mailbox|Make Move|Move Generation|Negamax|Opening Book|Piece Lists|Piece-Square Tables|Pseudo-Legal Move Generation|Razoring|Static Exchange Evaluation|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Mailbox,alpha_beta,rich_eval,medium,Mailbox__alpha_beta__rich_eval
pool_variant_006,random_sample,sampled,outputs/stratified_variant_experiment_smoke_build/pool_configs/pool_variant_006.json,28,10x12 Board|Alpha-Beta|Castling|Connected Pawn|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|King Pressure|King Shelter|Legal Move Generation|Make Move|Minimax|Move Generation|Null Move Pruning|Opening Book|Piece Lists|Pseudo-Legal Move Generation|Quiescence Search|Razoring|Rook on Open File|Tapered Eval|Threefold Repetition|Time Management|UCI|Unmake Move,10x12 Board,minimax,rich_eval,medium,10x12 Board__minimax__rich_eval
pool_variant_007,random_sample,sampled,outputs/stratified_variant_experiment_smoke_build/pool_configs/pool_variant_007.json,29,0x88|Alpha-Beta|Castling|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|History Heuristic|Isolated Pawn|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Null Move Pruning|Opening Book|Piece Lists|Pseudo-Legal Move Generation|Quiescence Search|Replacement Schemes|Rook Semi-Open File|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,0x88,alpha_beta,rich_eval,medium,0x88__alpha_beta__rich_eval
pool_variant_008,random_sample,sampled,outputs/stratified_variant_experiment_smoke_build/pool_configs/pool_variant_008.json,20,0x88|Alpha-Beta|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|King Pressure|Legal Move Generation|Make Move|Minimax|Move Generation|Passed Pawn|Piece Lists|Razoring|Rook Semi-Open File|Threefold Repetition|UCI|Unmake Move,0x88,minimax,rich_eval,low,0x88__minimax__rich_eval
pool_variant_009,random_sample,sampled,outputs/stratified_variant_experiment_smoke_build/pool_configs/pool_variant_009.json,28,Alpha-Beta|Aspiration Windows|Bitboards|Castling|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Killer Heuristic|King Pressure|Late Move Reductions|Legal Move Generation|Magic Bitboards|Make Move|Move Generation|Move Ordering|Negamax|Null Move Pruning|Passed Pawn|Piece Lists|Principal Variation Search|Threefold Repetition|Time Management|UCI|Unmake Move|Zobrist Hashing,Bitboards,pruning_full,rich_eval,medium,Bitboards__pruning_full__rich_eval
pool_variant_010,random_sample,sampled,outputs/stratified_variant_experiment_smoke_build/pool_configs/pool_variant_010.json,28,10x12 Board|Alpha-Beta|Aspiration Windows|Castling|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Isolated Pawn|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Null Move Pruning|Passed Pawn|Pawn Hash Table|Principal Variation Search|Quiescence Search|Rook Semi-Open File|Tapered Eval|Threefold Repetition|UCI|Unmake Move|Zobrist Hashing,10x12 Board,pruning_full,rich_eval,medium,10x12 Board__pruning_full__rich_eval
pool_variant_011,random_sample,sampled,outputs/stratified_variant_experiment_smoke_build/pool_configs/pool_variant_011.json,26,10x12 Board|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|King Pressure|King Shelter|Legal Move Generation|Make Move|Mobility|Move Generation|Negamax|Opening Book|Passed Pawn|Piece-Square Tables|Pondering|Quiescence Search|Replacement Schemes|Rook Semi-Open File|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move,10x12 Board,negamax,rich_eval,medium,10x12 Board__negamax__rich_eval
pool_variant_012,random_sample,sampled,outputs/stratified_variant_experiment_smoke_build/pool_configs/pool_variant_012.json,28,Bishop Pair|Bitboards|Castling|Connected Pawn|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Iterative Deepening|King Pressure|Legal Move Generation|Make Move|Minimax|Mobility|Move Generation|Move Ordering|Opening Book|Piece-Square Tables|Pondering|Razoring|Rook Semi-Open File|Static Exchange Evaluation|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Bitboards,minimax,rich_eval,medium,Bitboards__minimax__rich_eval
