variant_name,source_kind,role,board_family,search_tier,eval_tier,probe,position,bestmove,legal,error
phase1_minimax,control,worst_preset,Bitboards,minimax,material_eval,startpos,position startpos,a2a3,PASS,
phase1_minimax,control,worst_preset,Bitboards,minimax,material_eval,castle_tension,position fen r3k2r/pppq1ppp/2n1bn2/3pp3/3PP3/2N1BN2/PPP2PPP/R2Q1RK1 w kq - 0 9,e4d5,PASS,
phase1_minimax,control,worst_preset,Bitboards,minimax,material_eval,en_passant_window,position fen rnbqkbnr/pppp1ppp/8/4p3/3PPp2/8/PPP3PP/RNBQKBNR b KQkq d3 0 3,e5d4,PASS,
phase1_minimax,control,worst_preset,Bitboards,minimax,material_eval,promotion_race,position fen 8/P7/2k5/8/8/8/7p/2K5 w - - 0 1,a7a8q,PASS,
phase2_10x12_ab_pvs_id,control,reference_random,10x12 Board,pvs_id,pst_eval,startpos,position startpos,b1c3,PASS,
phase2_10x12_ab_pvs_id,control,reference_random,10x12 Board,pvs_id,pst_eval,castle_tension,position fen r3k2r/pppq1ppp/2n1bn2/3pp3/3PP3/2N1BN2/PPP2PPP/R2Q1RK1 w kq - 0 9,e4d5,PASS,
phase2_10x12_ab_pvs_id,control,reference_random,10x12 Board,pvs_id,pst_eval,en_passant_window,position fen rnbqkbnr/pppp1ppp/8/4p3/3PPp2/8/PPP3PP/RNBQKBNR b KQkq d3 0 3,d7d6,PASS,
phase2_10x12_ab_pvs_id,control,reference_random,10x12 Board,pvs_id,pst_eval,promotion_race,position fen 8/P7/2k5/8/8/8/7p/2K5 w - - 0 1,a7a8q,PASS,
phase3_full_eval,control,best_preset,Bitboards,pvs_id,rich_eval,startpos,position startpos,e2e4,PASS,
phase3_full_eval,control,best_preset,Bitboards,pvs_id,rich_eval,castle_tension,position fen r3k2r/pppq1ppp/2n1bn2/3pp3/3PP3/2N1BN2/PPP2PPP/R2Q1RK1 w kq - 0 9,e4d5,PASS,
phase3_full_eval,control,best_preset,Bitboards,pvs_id,rich_eval,en_passant_window,position fen rnbqkbnr/pppp1ppp/8/4p3/3PPp2/8/PPP3PP/RNBQKBNR b KQkq d3 0 3,d8h4,PASS,
phase3_full_eval,control,best_preset,Bitboards,pvs_id,rich_eval,promotion_race,position fen 8/P7/2k5/8/8/8/7p/2K5 w - - 0 1,a7a8q,PASS,
strong_variant_02,control,best_empirical,Bitboards,pruning_full,rich_eval,startpos,position startpos,e2e4,PASS,
strong_variant_02,control,best_empirical,Bitboards,pruning_full,rich_eval,castle_tension,position fen r3k2r/pppq1ppp/2n1bn2/3pp3/3PP3/2N1BN2/PPP2PPP/R2Q1RK1 w kq - 0 9,e4d5,PASS,
strong_variant_02,control,best_empirical,Bitboards,pruning_full,rich_eval,en_passant_window,position fen rnbqkbnr/pppp1ppp/8/4p3/3PPp2/8/PPP3PP/RNBQKBNR b KQkq d3 0 3,d8h4,PASS,
strong_variant_02,control,best_empirical,Bitboards,pruning_full,rich_eval,promotion_race,position fen 8/P7/2k5/8/8/8/7p/2K5 w - - 0 1,a7a8q,PASS,
stratified_variant_01,random_sample,sampled,10x12 Board,negamax,rich_eval,startpos,position startpos,e2e4,PASS,
stratified_variant_01,random_sample,sampled,10x12 Board,negamax,rich_eval,castle_tension,position fen r3k2r/pppq1ppp/2n1bn2/3pp3/3PP3/2N1BN2/PPP2PPP/R2Q1RK1 w kq - 0 9,e4d5,PASS,
stratified_variant_01,random_sample,sampled,10x12 Board,negamax,rich_eval,en_passant_window,position fen rnbqkbnr/pppp1ppp/8/4p3/3PPp2/8/PPP3PP/RNBQKBNR b KQkq d3 0 3,d8h4,PASS,
stratified_variant_01,random_sample,sampled,10x12 Board,negamax,rich_eval,promotion_race,position fen 8/P7/2k5/8/8/8/7p/2K5 w - - 0 1,a7a8q,PASS,
