white,black,result,termination,white_score
phase2_10x12_ab_pvs_id,sf2050,1-0,,1.0
sf2050,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2050,0-1,,0.0
sf2050,phase2_10x12_ab_pvs_id,1/2-1/2,,0.5
phase2_10x12_ab_pvs_id,sf2050,0-1,,0.0
sf2050,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2050,0-1,,0.0
sf2050,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2150,0-1,,0.0
sf2150,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2150,0-1,,0.0
sf2150,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2150,1-0,,1.0
sf2150,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2150,1-0,,1.0
sf2150,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2250,1-0,,1.0
sf2250,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2250,1-0,,1.0
sf2250,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2250,1-0,,1.0
sf2250,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2250,1-0,,1.0
sf2250,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2350,1-0,,1.0
sf2350,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2350,0-1,,0.0
sf2350,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2350,1-0,,1.0
sf2350,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2350,0-1,,0.0
sf2350,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2450,0-1,,0.0
sf2450,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2450,0-1,,0.0
sf2450,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2450,1-0,,1.0
sf2450,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2450,0-1,,0.0
sf2450,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2550,0-1,,0.0
sf2550,phase2_10x12_ab_pvs_id,1/2-1/2,,0.5
phase2_10x12_ab_pvs_id,sf2550,1-0,,1.0
sf2550,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2550,0-1,,0.0
sf2550,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2550,0-1,,0.0
sf2550,phase2_10x12_ab_pvs_id,1-0,,1.0
phase3_full_eval,sf2050,1-0,,1.0
sf2050,phase3_full_eval,0-1,,0.0
phase3_full_eval,sf2050,0-1,,0.0
sf2050,phase3_full_eval,1/2-1/2,,0.5
phase3_full_eval,sf2050,1-0,,1.0
sf2050,phase3_full_eval,0-1,,0.0
phase3_full_eval,sf2050,1-0,,1.0
sf2050,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2150,1-0,,1.0
sf2150,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2150,0-1,,0.0
sf2150,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2150,0-1,,0.0
sf2150,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2150,1-0,,1.0
sf2150,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2250,1-0,,1.0
sf2250,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2250,0-1,,0.0
sf2250,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2250,1-0,,1.0
sf2250,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2250,1-0,,1.0
sf2250,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2350,1-0,,1.0
sf2350,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2350,1-0,,1.0
sf2350,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2350,1-0,,1.0
sf2350,phase3_full_eval,1/2-1/2,,0.5
phase3_full_eval,sf2350,0-1,,0.0
sf2350,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2450,0-1,,0.0
sf2450,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2450,0-1,,0.0
sf2450,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2450,1-0,,1.0
sf2450,phase3_full_eval,0-1,,0.0
phase3_full_eval,sf2450,0-1,,0.0
sf2450,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2550,0-1,,0.0
sf2550,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2550,0-1,,0.0
sf2550,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2550,0-1,,0.0
sf2550,phase3_full_eval,1/2-1/2,,0.5
phase3_full_eval,sf2550,0-1,,0.0
sf2550,phase3_full_eval,1-0,,1.0
stratified_variant_28,sf2050,1-0,,1.0
sf2050,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2050,1-0,,1.0
sf2050,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2050,1-0,,1.0
sf2050,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2050,1-0,,1.0
sf2050,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2150,0-1,,0.0
sf2150,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2150,1-0,,1.0
sf2150,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2150,0-1,,0.0
sf2150,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2150,1-0,,1.0
sf2150,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2250,0-1,,0.0
sf2250,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2250,1-0,,1.0
sf2250,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2250,0-1,,0.0
sf2250,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2250,1/2-1/2,,0.5
sf2250,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2350,1-0,,1.0
sf2350,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2350,0-1,,0.0
sf2350,stratified_variant_28,0-1,,0.0
stratified_variant_28,sf2350,0-1,,0.0
sf2350,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2350,0-1,,0.0
sf2350,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,1-0,,1.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,0-1,,0.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2450,1-0,,1.0
sf2450,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,1/2-1/2,,0.5
sf2550,stratified_variant_28,1-0,,1.0
stratified_variant_28,sf2550,0-1,,0.0
sf2550,stratified_variant_28,0-1,,0.0
