player,kind,games,wins,draws,losses,score,score_pct
stratified_variant_87,variant,44,37,3,4,38.5,87.5
phase3_full_eval,variant,44,35,3,6,36.5,83.0
stratified_variant_60,variant,44,36,0,8,36.0,81.8
stratified_variant_28,variant,44,31,4,9,33.0,75.0
stratified_variant_82,variant,44,30,6,8,33.0,75.0
phase2_10x12_ab_pvs_id,variant,44,26,10,8,31.0,70.5
sf2000,stockfish,44,28,5,11,30.5,69.3
sf2500,stockfish,44,28,4,12,30.0,68.2
stratified_variant_09,variant,44,23,6,15,26.0,59.1
stratified_variant_45,variant,44,25,1,18,25.5,58.0
strong_variant_02,variant,44,23,5,16,25.5,58.0
stratified_variant_55,variant,44,21,8,15,25.0,56.8
stratified_variant_17,variant,44,16,11,17,21.5,48.9
phase1_minimax,variant,44,15,9,20,19.5,44.3
sf1500,stockfish,44,18,2,24,19.0,43.2
stratified_variant_61,variant,44,16,6,22,19.0,43.2
stratified_variant_04,variant,44,10,6,28,13.0,29.5
stratified_variant_78,variant,44,10,3,31,11.5,26.1
stratified_variant_43,variant,44,9,3,32,10.5,23.9
stratified_variant_98,variant,44,6,2,36,7.0,15.9
stratified_variant_97,variant,44,5,4,35,7.0,15.9
stratified_variant_65,variant,44,5,2,37,6.0,13.6
stratified_variant_66,variant,44,1,1,42,1.5,3.4
