player,kind,games,wins,draws,losses,score,score_pct
phase3_full_eval,variant,88,80,2,6,81.0,92.0
sf2500,stockfish,88,80,1,7,80.5,91.5
stratified_variant_28,variant,88,75,4,9,77.0,87.5
phase2_10x12_ab_pvs_id,variant,88,70,7,11,73.5,83.5
sf2000,stockfish,88,71,0,17,71.0,80.7
stratified_variant_82,variant,88,65,3,20,66.5,75.6
stratified_variant_61,variant,88,61,6,21,64.0,72.7
sf1500,stockfish,88,63,0,25,63.0,71.6
stratified_variant_09,variant,88,60,3,25,61.5,69.9
strong_variant_02,variant,88,60,1,27,60.5,68.8
stratified_variant_65,variant,88,48,1,39,48.5,55.1
phase1_minimax,variant,88,19,25,44,31.5,35.8
stratified_variant_97,variant,88,17,28,43,31.0,35.2
stratified_variant_04,variant,88,17,26,45,30.0,34.1
stratified_variant_43,variant,88,17,25,46,29.5,33.5
stratified_variant_87,variant,88,16,25,47,28.5,32.4
stratified_variant_60,variant,88,11,34,43,28.0,31.8
stratified_variant_45,variant,88,13,28,47,27.0,30.7
stratified_variant_78,variant,88,13,23,52,24.5,27.8
stratified_variant_66,variant,88,11,21,56,21.5,24.4
stratified_variant_55,variant,88,8,3,77,9.5,10.8
stratified_variant_17,variant,88,2,0,86,2.0,2.3
stratified_variant_98,variant,88,2,0,86,2.0,2.3
