bucket,variant_name,config_path,score_pct,score,games,wins,draws,losses,vs_sf1500,vs_sf2000,vs_sf2500
strong,phase3_full_eval,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase3_full_eval.json,92.0,81.0,88,80,2,6,4.0/4,3.0/4,2.0/4
strong,stratified_variant_28,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_28.json,87.5,77.0,88,75,4,9,4.0/4,4.0/4,1.0/4
strong,phase2_10x12_ab_pvs_id,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase2_10x12_ab_pvs_id.json,83.5,73.5,88,70,7,11,1.0/4,2.0/4,1.0/4
mid,stratified_variant_82,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_82.json,75.6,66.5,88,65,3,20,3.0/4,3.0/4,0.5/4
mid,stratified_variant_61,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_61.json,72.7,64.0,88,61,6,21,1.0/4,0.0/4,0.0/4
weak,stratified_variant_09,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_09.json,69.9,61.5,88,60,3,25,4.0/4,0.0/4,0.0/4
weak,strong_variant_02,/Users/mathieuacher/SANDBOX/chessprogramming-vm/outputs/improved_variants/strong_variant_02.json,68.8,60.5,88,60,1,27,3.0/4,0.0/4,1.0/4
weak,stratified_variant_65,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_65.json,55.1,48.5,88,48,1,39,0.0/4,0.0/4,0.0/4
weak,phase1_minimax,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase1_minimax.json,35.8,31.5,88,19,25,44,0.0/4,0.0/4,0.0/4
weak,stratified_variant_97,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_97.json,35.2,31.0,88,17,28,43,0.0/4,0.0/4,0.0/4
weak,stratified_variant_04,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_04.json,34.1,30.0,88,17,26,45,0.0/4,0.0/4,0.0/4
weak,stratified_variant_43,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_43.json,33.5,29.5,88,17,25,46,0.0/4,0.0/4,0.0/4
weak,stratified_variant_87,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_87.json,32.4,28.5,88,16,25,47,0.0/4,0.0/4,0.0/4
weak,stratified_variant_60,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_60.json,31.8,28.0,88,11,34,43,0.0/4,0.0/4,0.0/4
weak,stratified_variant_45,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_45.json,30.7,27.0,88,13,28,47,0.0/4,0.0/4,0.0/4
weak,stratified_variant_78,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_78.json,27.8,24.5,88,13,23,52,0.0/4,0.0/4,0.0/4
weak,stratified_variant_66,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_66.json,24.4,21.5,88,11,21,56,0.0/4,0.0/4,0.0/4
weak,stratified_variant_55,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_55.json,10.8,9.5,88,8,3,77,0.0/4,0.0/4,0.0/4
weak,stratified_variant_17,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_17.json,2.3,2.0,88,2,0,86,0.0/4,0.0/4,0.0/4
weak,stratified_variant_98,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_98.json,2.3,2.0,88,2,0,86,0.0/4,0.0/4,0.0/4
