white,black,result,termination,white_score
phase1_minimax,sf1500,0-1,,0.0
sf1500,phase1_minimax,1-0,,1.0
phase1_minimax,sf1500,0-1,,0.0
sf1500,phase1_minimax,1-0,,1.0
phase1_minimax,sf2000,0-1,,0.0
sf2000,phase1_minimax,1-0,,1.0
phase1_minimax,sf2000,0-1,,0.0
sf2000,phase1_minimax,1-0,,1.0
phase1_minimax,sf2500,0-1,,0.0
sf2500,phase1_minimax,1-0,,1.0
phase1_minimax,sf2500,0-1,,0.0
sf2500,phase1_minimax,1-0,,1.0
phase2_10x12_ab_pvs_id,sf1500,1-0,,1.0
sf1500,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf1500,1-0,,1.0
sf1500,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2000,0-1,,0.0
sf2000,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2000,1/2-1/2,,0.5
sf2000,phase2_10x12_ab_pvs_id,0-1,,0.0
phase2_10x12_ab_pvs_id,sf2500,0-1,,0.0
sf2500,phase2_10x12_ab_pvs_id,1-0,,1.0
phase2_10x12_ab_pvs_id,sf2500,1-0,,1.0
sf2500,phase2_10x12_ab_pvs_id,0-1,,0.0
phase3_full_eval,sf1500,1-0,,1.0
sf1500,phase3_full_eval,0-1,,0.0
phase3_full_eval,sf1500,1-0,,1.0
sf1500,phase3_full_eval,0-1,,0.0
phase3_full_eval,sf2000,1-0,,1.0
sf2000,phase3_full_eval,0-1,,0.0
phase3_full_eval,sf2000,1-0,,1.0
sf2000,phase3_full_eval,0-1,,0.0
phase3_full_eval,sf2500,1-0,,1.0
sf2500,phase3_full_eval,1-0,,1.0
phase3_full_eval,sf2500,1-0,,1.0
sf2500,phase3_full_eval,1-0,,1.0
stratified_variant_02,sf1500,1-0,,1.0
sf1500,stratified_variant_02,1-0,,1.0
stratified_variant_02,sf1500,1-0,,1.0
sf1500,stratified_variant_02,1-0,,1.0
stratified_variant_02,sf2000,0-1,,0.0
sf2000,stratified_variant_02,1-0,,1.0
stratified_variant_02,sf2000,1/2-1/2,,0.5
sf2000,stratified_variant_02,1-0,,1.0
stratified_variant_02,sf2500,0-1,,0.0
sf2500,stratified_variant_02,1-0,,1.0
stratified_variant_02,sf2500,0-1,,0.0
sf2500,stratified_variant_02,1-0,,1.0
stratified_variant_03,sf1500,0-1,,0.0
sf1500,stratified_variant_03,1-0,,1.0
stratified_variant_03,sf1500,0-1,,0.0
sf1500,stratified_variant_03,1-0,,1.0
stratified_variant_03,sf2000,0-1,,0.0
sf2000,stratified_variant_03,1-0,,1.0
stratified_variant_03,sf2000,0-1,,0.0
sf2000,stratified_variant_03,1-0,,1.0
stratified_variant_03,sf2500,0-1,,0.0
sf2500,stratified_variant_03,1-0,,1.0
stratified_variant_03,sf2500,0-1,,0.0
sf2500,stratified_variant_03,1-0,,1.0
stratified_variant_04,sf1500,0-1,,0.0
sf1500,stratified_variant_04,1-0,,1.0
stratified_variant_04,sf1500,0-1,,0.0
sf1500,stratified_variant_04,1-0,,1.0
stratified_variant_04,sf2000,0-1,,0.0
sf2000,stratified_variant_04,1-0,,1.0
stratified_variant_04,sf2000,0-1,,0.0
sf2000,stratified_variant_04,1-0,,1.0
stratified_variant_04,sf2500,0-1,,0.0
sf2500,stratified_variant_04,1-0,,1.0
stratified_variant_04,sf2500,0-1,,0.0
sf2500,stratified_variant_04,1-0,,1.0
stratified_variant_07,sf1500,0-1,,0.0
sf1500,stratified_variant_07,1-0,,1.0
stratified_variant_07,sf1500,0-1,,0.0
sf1500,stratified_variant_07,1-0,,1.0
stratified_variant_07,sf2000,0-1,,0.0
sf2000,stratified_variant_07,1-0,,1.0
stratified_variant_07,sf2000,0-1,,0.0
sf2000,stratified_variant_07,1-0,,1.0
stratified_variant_07,sf2500,0-1,,0.0
sf2500,stratified_variant_07,1-0,,1.0
stratified_variant_07,sf2500,0-1,,0.0
sf2500,stratified_variant_07,1-0,,1.0
stratified_variant_09,sf1500,1-0,,1.0
sf1500,stratified_variant_09,0-1,,0.0
stratified_variant_09,sf1500,1-0,,1.0
sf1500,stratified_variant_09,0-1,,0.0
stratified_variant_09,sf2000,0-1,,0.0
sf2000,stratified_variant_09,1-0,,1.0
stratified_variant_09,sf2000,0-1,,0.0
sf2000,stratified_variant_09,1-0,,1.0
stratified_variant_09,sf2500,0-1,,0.0
sf2500,stratified_variant_09,1-0,,1.0
stratified_variant_09,sf2500,0-1,,0.0
sf2500,stratified_variant_09,1-0,,1.0
stratified_variant_100,sf1500,0-1,,0.0
sf1500,stratified_variant_100,1-0,,1.0
stratified_variant_100,sf1500,0-1,,0.0
sf1500,stratified_variant_100,0-1,,0.0
stratified_variant_100,sf2000,0-1,,0.0
sf2000,stratified_variant_100,0-1,,0.0
stratified_variant_100,sf2000,0-1,,0.0
sf2000,stratified_variant_100,1-0,,1.0
stratified_variant_100,sf2500,0-1,,0.0
sf2500,stratified_variant_100,1-0,,1.0
stratified_variant_100,sf2500,0-1,,0.0
sf2500,stratified_variant_100,1-0,,1.0
stratified_variant_10,sf1500,0-1,,0.0
sf1500,stratified_variant_10,1-0,,1.0
stratified_variant_10,sf1500,0-1,,0.0
sf1500,stratified_variant_10,1-0,,1.0
stratified_variant_10,sf2000,0-1,,0.0
sf2000,stratified_variant_10,1-0,,1.0
stratified_variant_10,sf2000,0-1,,0.0
sf2000,stratified_variant_10,1-0,,1.0
stratified_variant_10,sf2500,0-1,,0.0
sf2500,stratified_variant_10,1-0,,1.0
stratified_variant_10,sf2500,0-1,,0.0
sf2500,stratified_variant_10,1-0,,1.0
stratified_variant_11,sf1500,0-1,,0.0
sf1500,stratified_variant_11,1-0,,1.0
stratified_variant_11,sf1500,0-1,,0.0
sf1500,stratified_variant_11,1-0,,1.0
stratified_variant_11,sf2000,0-1,,0.0
sf2000,stratified_variant_11,1-0,,1.0
stratified_variant_11,sf2000,0-1,,0.0
sf2000,stratified_variant_11,1-0,,1.0
stratified_variant_11,sf2500,0-1,,0.0
sf2500,stratified_variant_11,1-0,,1.0
stratified_variant_11,sf2500,0-1,,0.0
sf2500,stratified_variant_11,1-0,,1.0
stratified_variant_13,sf1500,1-0,,1.0
sf1500,stratified_variant_13,1-0,,1.0
stratified_variant_13,sf1500,0-1,,0.0
sf1500,stratified_variant_13,0-1,,0.0
stratified_variant_13,sf2000,0-1,,0.0
sf2000,stratified_variant_13,1-0,,1.0
stratified_variant_13,sf2000,0-1,,0.0
sf2000,stratified_variant_13,1-0,,1.0
stratified_variant_13,sf2500,0-1,,0.0
sf2500,stratified_variant_13,1-0,,1.0
stratified_variant_13,sf2500,0-1,,0.0
sf2500,stratified_variant_13,1-0,,1.0
stratified_variant_17,sf1500,0-1,,0.0
sf1500,stratified_variant_17,1-0,,1.0
stratified_variant_17,sf1500,0-1,,0.0
sf1500,stratified_variant_17,1-0,,1.0
stratified_variant_17,sf2000,0-1,,0.0
sf2000,stratified_variant_17,1-0,,1.0
stratified_variant_17,sf2000,0-1,,0.0
sf2000,stratified_variant_17,1-0,,1.0
stratified_variant_17,sf2500,0-1,,0.0
sf2500,stratified_variant_17,1-0,,1.0
stratified_variant_17,sf2500,0-1,,0.0
sf2500,stratified_variant_17,1-0,,1.0
stratified_variant_18,sf1500,0-1,,0.0
sf1500,stratified_variant_18,0-1,,0.0
stratified_variant_18,sf1500,0-1,,0.0
sf1500,stratified_variant_18,0-1,,0.0
stratified_variant_18,sf2000,0-1,,0.0
sf2000,stratified_variant_18,1-0,,1.0
stratified_variant_18,sf2000,0-1,,0.0
sf2000,stratified_variant_18,1-0,,1.0
stratified_variant_18,sf2500,0-1,,0.0
sf2500,stratified_variant_18,1-0,,1.0
stratified_variant_18,sf2500,0-1,,0.0
sf2500,stratified_variant_18,1-0,,1.0
stratified_variant_21,sf1500,0-1,,0.0
sf1500,stratified_variant_21,1-0,,1.0
stratified_variant_21,sf1500,0-1,,0.0
sf1500,stratified_variant_21,1-0,,1.0
