player,kind,games,wins,draws,losses,score,score_pct
sf2500,stockfish,200,195,0,5,195.0,97.5
sf2000,stockfish,200,180,7,13,183.5,91.8
sf1500,stockfish,200,160,0,40,160.0,80.0
phase3_full_eval,variant,12,10,0,2,10.0,83.3
phase2_10x12_ab_pvs_id,variant,12,7,1,4,7.5,62.5
stratified_variant_28,variant,12,7,1,4,7.5,62.5
stratified_variant_09,variant,12,4,0,8,4.0,33.3
strong_variant_02,variant,12,4,0,8,4.0,33.3
stratified_variant_90,variant,12,3,1,8,3.5,29.2
stratified_variant_31,variant,12,3,0,9,3.0,25.0
stratified_variant_61,variant,12,3,0,9,3.0,25.0
stratified_variant_02,variant,12,2,1,9,2.5,20.8
stratified_variant_27,variant,12,2,1,9,2.5,20.8
stratified_variant_33,variant,12,2,1,9,2.5,20.8
stratified_variant_82,variant,12,2,1,9,2.5,20.8
stratified_variant_100,variant,12,2,0,10,2.0,16.7
stratified_variant_13,variant,12,2,0,10,2.0,16.7
stratified_variant_18,variant,12,2,0,10,2.0,16.7
stratified_variant_72,variant,12,2,0,10,2.0,16.7
stratified_variant_64,variant,12,1,0,11,1.0,8.3
phase1_minimax,variant,12,0,0,12,0.0,0.0
stratified_variant_03,variant,12,0,0,12,0.0,0.0
stratified_variant_04,variant,12,0,0,12,0.0,0.0
stratified_variant_07,variant,12,0,0,12,0.0,0.0
stratified_variant_10,variant,12,0,0,12,0.0,0.0
stratified_variant_11,variant,12,0,0,12,0.0,0.0
stratified_variant_17,variant,12,0,0,12,0.0,0.0
stratified_variant_21,variant,12,0,0,12,0.0,0.0
stratified_variant_23,variant,12,0,0,12,0.0,0.0
stratified_variant_29,variant,12,0,0,12,0.0,0.0
stratified_variant_39,variant,12,0,0,12,0.0,0.0
stratified_variant_42,variant,12,0,0,12,0.0,0.0
stratified_variant_43,variant,12,0,0,12,0.0,0.0
stratified_variant_45,variant,12,0,0,12,0.0,0.0
stratified_variant_46,variant,12,0,0,12,0.0,0.0
stratified_variant_50,variant,12,0,0,12,0.0,0.0
stratified_variant_52,variant,12,0,0,12,0.0,0.0
stratified_variant_55,variant,12,0,0,12,0.0,0.0
stratified_variant_57,variant,12,0,0,12,0.0,0.0
stratified_variant_58,variant,12,0,0,12,0.0,0.0
stratified_variant_59,variant,12,0,0,12,0.0,0.0
stratified_variant_60,variant,12,0,0,12,0.0,0.0
stratified_variant_63,variant,12,0,0,12,0.0,0.0
stratified_variant_65,variant,12,0,0,12,0.0,0.0
stratified_variant_66,variant,12,0,0,12,0.0,0.0
stratified_variant_69,variant,12,0,0,12,0.0,0.0
stratified_variant_70,variant,12,0,0,12,0.0,0.0
stratified_variant_78,variant,12,0,0,12,0.0,0.0
stratified_variant_87,variant,12,0,0,12,0.0,0.0
stratified_variant_91,variant,12,0,0,12,0.0,0.0
stratified_variant_93,variant,12,0,0,12,0.0,0.0
stratified_variant_97,variant,12,0,0,12,0.0,0.0
stratified_variant_98,variant,12,0,0,12,0.0,0.0
