variant_name,bucket,score_pct,score,games,wins,draws,losses,board_family,search_tier,eval_tier,perft6_sec,selected_feature_count,source_kind,shallow_score_pct,delta_score_pct,sf2500_score,sf2500_games,sf2500_pct,sf2000_score,sf2000_games,sf2000_pct,sf1500_score,sf1500_games,sf1500_pct
stratified_variant_28,strong,93.5,194.5,208,191,7,10,0x88,minimax,structural_eval,1.582,27,random_sample,,,2.0,4,50.0,4.0,4,100.0,4.0,4,100.0
phase2_10x12_ab_pvs_id,strong,93.3,194.0,208,187,14,7,10x12 Board,pvs_id,pst_eval,1.745,22,control,,,1.0,4,25.0,2.5,4,62.5,4.0,4,100.0
phase3_full_eval,strong,93.3,194.0,208,189,10,9,Bitboards,pvs_id,rich_eval,3.285,37,control,,,1.5,4,37.5,1.5,4,37.5,3.0,4,75.0
stratified_variant_31,mid,86.8,180.5,208,176,9,23,Mailbox,minimax,structural_eval,1.759,30,random_sample,,,0.0,4,0.0,1.5,4,37.5,4.0,4,100.0
strong_variant_02,mid,84.6,176.0,208,171,10,27,Bitboards,pruning_full,rich_eval,2.994,38,control,,,1.0,4,25.0,1.0,4,25.0,4.0,4,100.0
stratified_variant_61,mid,82.7,172.0,208,168,8,32,10x12 Board,minimax,rich_eval,1.714,34,random_sample,,,0.0,4,0.0,2.0,4,50.0,2.0,4,50.0
stratified_variant_13,mid,82.0,170.5,208,166,9,33,Bitboards,pvs_id,rich_eval,3.368,28,random_sample,,,0.0,4,0.0,2.0,4,50.0,1.0,4,25.0
stratified_variant_09,mid,81.5,169.5,208,165,9,34,0x88,pruning_full,rich_eval,2.888,29,random_sample,,,0.0,4,0.0,1.0,4,25.0,2.0,4,50.0
stratified_variant_72,mid,80.8,168.0,208,161,14,33,Mailbox,minimax,rich_eval,2.575,28,random_sample,,,0.0,4,0.0,2.0,4,50.0,2.0,4,50.0
stratified_variant_90,mid,79.6,165.5,208,159,13,36,Mailbox,pruning_full,rich_eval,2.24,30,random_sample,,,0.0,4,0.0,2.0,4,50.0,4.0,4,100.0
