player,kind,games,wins,draws,losses,score,score_pct
sf2500,stockfish,208,199,3,6,200.5,96.4
stratified_variant_28,variant,208,191,7,10,194.5,93.5
phase3_full_eval,variant,208,189,10,9,194.0,93.3
phase2_10x12_ab_pvs_id,variant,208,187,14,7,194.0,93.3
sf2000,stockfish,208,180,6,22,183.0,88.0
stratified_variant_31,variant,208,176,9,23,180.5,86.8
strong_variant_02,variant,208,171,10,27,176.0,84.6
stratified_variant_61,variant,208,168,8,32,172.0,82.7
stratified_variant_13,variant,208,166,9,33,170.5,82.0
stratified_variant_09,variant,208,165,9,34,169.5,81.5
stratified_variant_72,variant,208,161,14,33,168.0,80.8
stratified_variant_90,variant,208,159,13,36,165.5,79.6
stratified_variant_33,variant,208,157,15,36,164.5,79.1
stratified_variant_82,variant,208,160,5,43,162.5,78.1
stratified_variant_18,variant,208,154,7,47,157.5,75.7
stratified_variant_02,variant,208,149,14,45,156.0,75.0
sf1500,stockfish,208,153,2,53,154.0,74.0
stratified_variant_27,variant,208,148,10,50,153.0,73.6
stratified_variant_100,variant,208,135,4,69,137.0,65.9
stratified_variant_65,variant,208,135,3,70,136.5,65.6
stratified_variant_64,variant,208,130,2,76,131.0,63.0
stratified_variant_46,variant,208,122,4,82,124.0,59.6
stratified_variant_57,variant,208,47,73,88,83.5,40.1
stratified_variant_70,variant,208,43,75,90,80.5,38.7
stratified_variant_58,variant,208,41,76,91,79.0,38.0
phase1_minimax,variant,208,34,87,87,77.5,37.3
stratified_variant_97,variant,208,33,88,87,77.0,37.0
stratified_variant_43,variant,208,36,81,91,76.5,36.8
stratified_variant_21,variant,208,34,84,90,76.0,36.5
stratified_variant_60,variant,208,32,88,88,76.0,36.5
stratified_variant_11,variant,208,34,82,92,75.0,36.1
stratified_variant_07,variant,208,29,90,89,74.0,35.6
stratified_variant_52,variant,208,26,96,86,74.0,35.6
stratified_variant_04,variant,208,31,85,92,73.5,35.3
stratified_variant_63,variant,208,27,93,88,73.5,35.3
stratified_variant_29,variant,208,30,83,95,71.5,34.4
stratified_variant_87,variant,208,27,88,93,71.0,34.1
stratified_variant_23,variant,208,23,93,92,69.5,33.4
stratified_variant_45,variant,208,27,83,98,68.5,32.9
stratified_variant_50,variant,208,24,89,95,68.5,32.9
stratified_variant_42,variant,208,23,91,94,68.5,32.9
stratified_variant_69,variant,208,27,82,99,68.0,32.7
stratified_variant_78,variant,208,26,84,98,68.0,32.7
stratified_variant_93,variant,208,24,85,99,66.5,32.0
stratified_variant_59,variant,208,22,86,100,65.0,31.2
stratified_variant_03,variant,208,24,60,124,54.0,26.0
stratified_variant_66,variant,208,24,47,137,47.5,22.8
stratified_variant_39,variant,208,20,42,146,41.0,19.7
stratified_variant_55,variant,208,16,9,183,20.5,9.9
stratified_variant_10,variant,208,7,0,201,7.0,3.4
stratified_variant_17,variant,208,6,0,202,6.0,2.9
stratified_variant_91,variant,208,6,0,202,6.0,2.9
stratified_variant_98,variant,208,5,0,203,5.0,2.4
