bucket,variant_name,config_path,score_pct,score,games,wins,draws,losses,vs_sf1500,vs_sf2000,vs_sf2500
strong,stratified_variant_28,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_28.json,93.5,194.5,208,191,7,10,4.0/4,4.0/4,2.0/4
strong,phase3_full_eval,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase3_full_eval.json,93.3,194.0,208,189,10,9,3.0/4,1.5/4,1.5/4
strong,phase2_10x12_ab_pvs_id,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase2_10x12_ab_pvs_id.json,93.3,194.0,208,187,14,7,4.0/4,2.5/4,1.0/4
mid,stratified_variant_31,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_31.json,86.8,180.5,208,176,9,23,4.0/4,1.5/4,0.0/4
mid,strong_variant_02,/Users/mathieuacher/SANDBOX/chessprogramming-vm/outputs/improved_variants/strong_variant_02.json,84.6,176.0,208,171,10,27,4.0/4,1.0/4,1.0/4
mid,stratified_variant_61,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_61.json,82.7,172.0,208,168,8,32,2.0/4,2.0/4,0.0/4
mid,stratified_variant_13,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_13.json,82.0,170.5,208,166,9,33,1.0/4,2.0/4,0.0/4
mid,stratified_variant_09,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_09.json,81.5,169.5,208,165,9,34,2.0/4,1.0/4,0.0/4
mid,stratified_variant_72,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_72.json,80.8,168.0,208,161,14,33,2.0/4,2.0/4,0.0/4
mid,stratified_variant_90,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_90.json,79.6,165.5,208,159,13,36,4.0/4,2.0/4,0.0/4
mid,stratified_variant_33,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_33.json,79.1,164.5,208,157,15,36,2.5/4,1.5/4,0.5/4
mid,stratified_variant_82,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_82.json,78.1,162.5,208,160,5,43,3.0/4,0.0/4,0.0/4
