feature,family,compile_flag,guarded_nonempty_loc
Magic Bitboards,MoveGeneration,CFG_MAGIC_BITBOARDS,279
Pondering,TimeManagement,CFG_PONDERING,242
Opening Book,Opening,CFG_OPENING_BOOK,233
Castling,MoveGeneration,CFG_CASTLING,120
Null Move Pruning,PruningReductions,CFG_NULL_MOVE_PRUNING,108
Transposition Table,TranspositionTable,CFG_TRANSPOSITION_TABLE,98
Piece Lists,BoardRepresentation,CFG_PIECE_LISTS,86
Bitboards,BoardRepresentation,CFG_BITBOARDS,45
En Passant,MoveGeneration,CFG_EN_PASSANT,36
Piece-Square Tables,Evaluation,CFG_PIECE_SQUARE_TABLES,34
Move Ordering,Search,CFG_MOVE_ORDERING,34
Late Move Reductions,PruningReductions,CFG_LATE_MOVE_REDUCTIONS,34
Aspiration Windows,Search,CFG_ASPIRATION_WINDOWS,29
Delta Pruning,PruningReductions,CFG_DELTA_PRUNING,22
FEN,Protocol,CFG_FEN,21
Fifty-Move Rule,Search,CFG_FIFTY_MOVE_RULE,20
Threefold Repetition,Search,CFG_THREEFOLD_REPETITION,20
Futility Pruning,PruningReductions,CFG_FUTILITY_PRUNING,18
Razoring,PruningReductions,CFG_RAZORING,18
Iterative Deepening,Search,CFG_ITERATIVE_DEEPENING,18
Hash Move,Ordering Heuristics,CFG_HASH_MOVE,16
Zobrist Hashing,TT Support,CFG_ZOBRIST_HASHING,16
Pawn Hash Table,TT Support,CFG_PAWN_HASH_TABLE,13
10x12 Board,BoardRepresentation,CFG_10X12_BOARD,11
Unmake Move,BoardRepresentation,CFG_UNMAKE_MOVE,11
Killer Heuristic,Ordering Heuristics,CFG_KILLER_HEURISTIC,11
Time Management,TimeManagement,CFG_TIME_MANAGEMENT,10
0x88,BoardRepresentation,CFG_0X88,9
Replacement Schemes,TT Support,CFG_REPLACEMENT_SCHEMES,9
Tapered Eval,Evaluation,CFG_TAPERED_EVAL,8
Copy-Make,BoardRepresentation,CFG_COPY_MAKE,7
Make Move,BoardRepresentation,CFG_MAKE_MOVE,6
Move Generation,MoveGeneration,CFG_MOVE_GENERATION,6
Alpha-Beta,Search,CFG_ALPHA_BETA,6
Quiescence Search,Search,CFG_QUIESCENCE_SEARCH,6
Mailbox,BoardRepresentation,CFG_MAILBOX,5
History Heuristic,Ordering Heuristics,CFG_HISTORY_HEURISTIC,4
Minimax,Search,CFG_MINIMAX,4
Negamax,Search,CFG_NEGAMAX,4
Evaluation,Evaluation,CFG_EVALUATION,3
UCI,Protocol,CFG_UCI,3
Principal Variation Search,Search,CFG_PRINCIPAL_VARIATION_SEARCH,3
Mobility,Evaluation,CFG_MOBILITY,2
Static Exchange Evaluation,Evaluation,CFG_STATIC_EXCHANGE_EVALUATION,2
Bishop Pair,Piece Coordination,CFG_BISHOP_PAIR,1
Connected Pawn,Pawn Structure,CFG_CONNECTED_PAWN,1
Doubled Pawn,Pawn Structure,CFG_DOUBLED_PAWN,1
Isolated Pawn,Pawn Structure,CFG_ISOLATED_PAWN,1
King Activity,King Terms,CFG_KING_ACTIVITY,1
King Shelter,King Terms,CFG_KING_SHELTER,1
Passed Pawn,Pawn Structure,CFG_PASSED_PAWN,1
Rook on Open File,Piece Coordination,CFG_ROOK_OPEN_FILE,1
Rook Semi-Open File,Piece Coordination,CFG_ROOK_SEMI_OPEN_FILE,1
Legal Move Generation,MoveGeneration,CFG_LEGAL_MOVE_GENERATION,1
Pseudo-Legal Move Generation,MoveGeneration,CFG_PSEUDO_LEGAL_MOVE_GENERATION,1
King Pressure,King Terms,CFG_KING_SAFETY,1
